f [Hz];U [dBuV]
1e-05;17,301811
2e-05;18,593964
3e-05;16,774620
4e-05;17,552086
5e-05;11,369896
6e-05;67,541397
7e-05;91,949488
8e-05;91,919519
9e-05;91,882874
0,0001;92,372690
0,0002;91,857318
0,0003;91,850998
0,0004;91,848414
0,0005;91,845104
0,0006;91,843934
0,0007;91,844076
0,0008;91,843331
0,0009;91,843901
0,001;91,845857
0,002;91,840361
0,003;91,842019
0,004;91,834299
0,005;91,830590
0,006;91,827280
0,007;91,825106
0,008;91,824702
0,009;91,826820
0,01;91,828463
0,02;91,808490
0,03;91,812618
0,04;91,815654
0,05;91,821980
0,06;91,828545
0,07;91,828000
0,08;91,821680
0,09;91,810103
0,1;91,795112
0,2;91,828787
0,3;91,761875
0,4;91,860500
0,5;91,791162
0,6;91,740480
0,7;91,722634
0,8;91,723928
0,9;91,734052
1,0;91,746681
2,0;91,710971
3,0;91,815598
4,0;91,812255
5,0;91,803677
6,0;91,819029
7,0;91,806372
8,0;91,694334
9,0;91,688239
10,0;91,759539
20,0;91,662395
30,0;91,422141
40,0;91,539977
50,0;91,386867
