f [Hz];U [dBuV]
1e-05;76,876007
2e-05;77,527576
3e-05;76,977882
4e-05;77,092123
5e-05;77,110754
6e-05;77,108837
7e-05;77,084627
8e-05;77,052908
9e-05;77,020147
0,0001;77,519587
0,0002;76,995729
0,0003;76,991745
0,0004;76,995338
0,0005;76,984587
0,0006;76,979124
0,0007;76,981630
0,0008;76,981197
0,0009;76,979544
0,001;76,990112
0,002;76,976440
0,003;76,976791
0,004;76,968189
0,005;76,963879
0,006;76,959986
0,007;76,957266
0,008;76,956202
0,009;76,965023
0,01;76,968472
0,02;76,942074
0,03;76,947783
0,04;76,951500
0,05;76,957541
0,06;76,966612
0,07;76,962309
0,08;76,955673
0,09;76,943773
0,1;76,940983
0,2;76,966188
0,3;76,898199
0,4;76,996225
0,5;76,925449
0,6;76,874889
0,7;76,855196
0,8;76,857471
0,9;76,865923
1,0;76,880392
2,0;76,847107
3,0;76,951170
4,0;76,950994
5,0;76,940344
6,0;76,955484
7,0;76,942930
8,0;76,831322
9,0;76,826672
10,0;76,900854
20,0;76,779394
30,0;76,522076
40,0;76,522141
50,0;76,355001
