f [MHz]	U [dBuV]
1000,0	72,013484954834
1500,0	72,2563858032227
2000,0	69,633861541748
2500,0	68,2045288085938
3000,0	65,3925666809082
3500,0	66,1350364685059
4000,0	62,7348022460938
4500,0	62,5522880554199
5000,0	60,4767837524414
5500,0	60,5558052062988
6000,0	58,985408782959
6500,0	57,3761329650879
7000,0	56,2256889343262
7500,0	55,2533569335938
8000,0	54,0949249267578
8500,0	54,0084457397461
9000,0	52,7025337219238
9500,0	51,9601402282715
10000,0	50,9213371276855
10500,0	51,8299407958984
11000,0	51,4810180664063
11500,0	49,6214485168457
12000,0	50,7933959960938
12500,0	49,5285568237305
13000,0	49,6692695617676
13500,0	47,0467987060547
14000,0	72,0073547363281
14500,0	47,5217094421387
15000,0	46,3605308532715
15500,0	46,8340148925781
16000,0	45,7101593017578
16500,0	45,2117462158203
17000,0	44,6625900268555
17500,0	41,0768203735352
18000,0	38,5719833374023
