f [MHz]	U [dBuV]
1000,0	104,244852304459
1500,0	103,907211780548
2000,0	102,797496318817
2500,0	101,51038646698
3000,0	99,3643727302551
3500,0	97,8393125534058
4000,0	94,9558601379395
4500,0	96,5311326980591
5000,0	93,4317998886108
5500,0	92,9662227630615
6000,0	91,9249134063721
6500,0	90,9740009307861
7000,0	89,5081729888916
7500,0	88,1133728027344
8000,0	86,5780811309814
8500,0	86,5018577575684
9000,0	85,6194381713867
9500,0	84,0059986114502
10000,0	79,8540382385254
10500,0	83,9712657928467
11000,0	83,8864898681641
11500,0	81,4389495849609
12000,0	82,3755550384521
12500,0	81,0610504150391
13000,0	79,864673614502
13500,0	77,1527481079102
14000,0	78,3064270019531
14500,0	80,5852317810059
15000,0	79,076997756958
15500,0	79,7901859283447
16000,0	79,8513164520264
16500,0	78,3416557312012
17000,0	77,9692649841309
17500,0	76,4880619049072
18000,0	74,2825050354004
