f [MHz]	U [dBuV]
1000,0	105,783552527428
1500,0	105,021057963371
2000,0	102,299294948578
2500,0	101,462894439697
3000,0	99,4192390441895
3500,0	97,0239362716675
4000,0	94,4991369247437
4500,0	96,0823993682861
5000,0	93,8994045257568
5500,0	92,9056224822998
6000,0	92,9245042800903
6500,0	92,2613525390625
7000,0	90,1827278137207
7500,0	88,695255279541
8000,0	88,2525672912598
8500,0	88,1051635742188
9000,0	86,222146987915
9500,0	85,288122177124
10000,0	81,2321605682373
10500,0	85,1346664428711
11000,0	84,5440101623535
11500,0	82,7066497802734
12000,0	83,6930084228516
12500,0	81,9192371368408
13000,0	81,2483997344971
13500,0	79,7379131317139
14000,0	78,3260097503662
14500,0	78,7321300506592
15000,0	76,7172794342041
15500,0	76,7977313995361
16000,0	75,6230010986328
16500,0	74,0426940917969
17000,0	74,0490379333496
17500,0	72,6081428527832
18000,0	73,0765075683594
