f [MHz]	U [dBuV]
3,1	85,3106708526611
3,2	92,9597768783569
3,3	92,8547191619873
3,4	92,8980989456177
3,5	92,9988994598389
3,6	93,1032791137695
3,7	93,1810464859009
3,8	93,2102966308594
3,9	93,304328918457
4,0	93,3487482070923
4,1	93,4340400695801
4,2	93,5960912704468
4,3	93,7429285049438
4,4	93,8863639831543
4,5	94,0303592681885
4,6	95,0262451171875
4,7	96,1023969650269
4,8	96,1023969650269
4,9	98,2588148117065
5,0	97,1253890991211
5,1	95,9989767074585
5,2	94,8249855041504
5,3	93,6124420166016
5,4	93,5234775543213
5,5	93,4116582870483
5,6	93,3016195297241
5,7	93,1796445846558
5,8	93,230110168457
5,9	93,2041511535645
6,0	93,2352437973022
6,1	93,2113380432129
6,2	93,1964302062988
6,3	93,2306728363037
6,4	93,1943311691284
6,5	93,1821136474609
6,6	93,2066984176636
6,7	93,1566209793091
6,8	93,1616888046265
6,9	93,1083869934082
7,0	93,1113309860229
7,1	93,110239982605
7,2	93,0933046340942
7,3	93,0721597671509
7,4	93,0521984100342
7,5	93,0294313430786
7,6	93,0174798965454
7,7	93,0239686965942
7,8	92,988133430481
7,9	93,0134954452515
8,0	92,9844512939453
8,1	92,9644784927368
8,2	92,8989295959473
8,3	92,9302997589111
8,4	92,9109411239624
8,5	92,9410705566406
8,6	92,9078016281128
8,7	92,880895614624
8,8	92,9123516082764
8,9	92,8818168640137
9,0	92,9126453399658
9,1	92,9357004165649
9,2	92,892186164856
9,3	92,9116668701172
9,4	92,9383897781372
9,5	92,9703426361084
9,6	92,9875659942627
9,7	92,961464881897
9,8	92,9856252670288
9,9	93,003888130188
10,0	93,0233869552612
11,0	93,0152788162231
12,0	93,0928611755371
13,0	93,1864862442017
14,0	93,2845020294189
15,0	93,3405103683472
16,0	93,3875694274902
17,0	93,5601787567139
18,0	93,3106355667114
19,0	93,3106355667114
20,0	93,5749435424805
21,0	93,6391878128052
22,0	93,5775108337402
23,0	93,8087568283081
24,0	93,5720701217651
25,0	93,8789777755737
26,0	93,5686292648315
27,0	93,8749008178711
28,0	93,4964179992676
29,0	93,76340675354
30,0	93,7313585281372
31,0	93,7884407043457
32,0	93,7884407043457
33,0	93,7921304702759
34,0	93,7571516036987
35,0	93,6846332550049
36,0	93,7107372283936
37,0	93,7107400894165
38,0	93,7491827011108
39,0	93,7841262817383
40,0	93,7576665878296
41,0	93,7576665878296
42,0	93,698956489563
43,0	93,6214609146118
44,0	93,6633949279785
45,0	93,6567344665527
46,0	93,6301965713501
47,0	93,6168699264526
48,0	93,6540117263794
49,0	93,6406106948853
50,0	93,6126594543457
51,0	93,6041679382324
52,0	93,6037368774414
53,0	93,6215744018555
54,0	93,6283388137817
55,0	93,6435451507568
56,0	93,6390609741211
57,0	93,6416006088257
58,0	93,6435012817383
59,0	93,6287889480591
60,0	93,6227159500122
61,0	93,6051340103149
62,0	93,5903921127319
63,0	93,6267290115356
64,0	93,6105804443359
65,0	93,6271820068359
66,0	93,6185026168823
67,0	93,6279306411743
68,0	93,6092567443848
69,0	93,6013336181641
70,0	93,6037950515747
71,0	93,6052360534668
72,0	93,5952339172363
73,0	93,5496988296509
74,0	93,5478363037109
75,0	93,5572490692139
76,0	93,5668716430664
77,0	93,5708494186401
78,0	93,5762853622437
79,0	93,5719518661499
80,0	93,5685968399048
81,0	93,522744178772
82,0	93,5267953872681
83,0	93,5371494293213
84,0	93,5370626449585
85,0	93,5379514694214
86,0	93,5471067428589
87,0	93,5546083450317
88,0	93,5546083450317
89,0	93,5553703308105
90,0	93,5499877929688
91,0	93,5632553100586
92,0	93,5621023178101
93,0	93,5559043884277
94,0	93,552845954895
95,0	93,5605955123901
96,0	93,5659437179565
97,0	93,563889503479
98,0	93,5074977874756
99,0	93,5086240768433
100,0	93,5154476165771
110,0	93,5206565856934
120,0	93,5430202484131
130,0	93,5395336151123
140,0	93,5450592041016
150,0	93,5398435592651
160,0	93,562331199646
170,0	93,5931043624878
180,0	93,5501136779785
190,0	93,684380531311
200,0	93,6296787261963
210,0	93,5887432098389
220,0	93,5820589065552
230,0	93,7475261688232
240,0	93,6896190643311
250,0	93,7418842315674
260,0	93,7338733673096
270,0	93,6622915267944
280,0	93,6802186965942
290,0	93,6722230911255
300,0	93,6278343200684
310,0	93,7160654067993
320,0	93,6398267745972
330,0	93,655309677124
340,0	93,7618799209595
350,0	93,7618799209595
360,0	93,8374881744385
370,0	93,8059005737305
380,0	93,7038345336914
390,0	93,7685813903809
400,0	93,7293291091919
410,0	93,7549314498901
420,0	93,7128553390503
430,0	93,7040138244629
440,0	93,6988182067871
