f [MHz]	U [dBuV]
3,1	96,0258131027222
3,2	98,9351558685303
3,3	98,830418586731
3,4	98,867148399353
3,5	98,9930181503296
3,6	99,0961246490479
3,7	99,1728811264038
3,8	99,2050004005432
3,9	99,3012948036194
4,0	99,344539642334
4,1	99,4319915771484
4,2	99,5939364433289
4,3	99,742377281189
4,4	99,8785009384155
4,5	100,026741981506
4,6	101,019572734833
4,7	102,077658653259
4,8	103,15393948555
4,9	104,215899467468
5,0	103,080208778381
5,1	101,953614711761
5,2	100,8070936203
5,3	99,5957407951355
5,4	99,5030207633972
5,5	99,3947539329529
5,6	99,2843799591064
5,7	99,1630659103394
5,8	99,2123799324036
5,9	99,1896390914917
6,0	99,218542098999
6,1	99,1960706710815
6,2	99,1806344985962
6,3	99,2157292366028
6,4	99,1795330047607
6,5	99,1634311676025
6,6	99,1913018226624
6,7	99,1402015686035
6,8	99,1438999176025
6,9	99,0914521217346
7,0	99,0944700241089
7,1	99,0933604240417
7,2	99,0757761001587
7,3	99,0541272163391
7,4	99,0355401039124
7,5	99,0138783454895
7,6	98,9976825714111
7,7	99,0089793205261
7,8	98,9704904556274
7,9	98,9967193603516
8,0	98,970121383667
8,1	98,9485149383545
8,2	98,8832664489746
8,3	98,9177722930908
8,4	98,8965425491333
8,5	98,9230346679688
8,6	98,8910655975342
8,7	98,8627462387085
8,8	98,897647857666
8,9	98,8622970581055
9,0	98,894474029541
9,1	98,9179964065552
9,2	98,8760528564453
9,3	98,9004831314087
9,4	98,9207830429077
9,5	98,9531497955322
9,6	98,9735527038574
9,7	98,9460744857788
9,8	98,9685974121094
9,9	98,987832069397
10,0	99,0054092407227
11,0	99,0001215934753
12,0	99,0757265090942
13,0	99,1706266403198
14,0	99,2672095298767
15,0	99,3219060897827
16,0	99,3219060897827
17,0	99,5433802604675
18,0	99,2688508033752
19,0	99,6045422554016
20,0	99,5836663246155
21,0	99,6471877098084
22,0	99,5859622955322
23,0	99,763828754425
24,0	99,5802216529846
25,0	99,8850483894348
26,0	99,5747981071472
27,0	99,8289451599121
28,0	99,5044665336609
29,0	99,7714495658875
30,0	99,6888709068298
31,0	99,6888709068298
32,0	99,7714705467224
33,0	99,7714705467224
34,0	99,7128005027771
35,0	99,692732334137
36,0	99,720742225647
37,0	99,7198696136475
38,0	99,7587795257568
39,0	99,79336977005
40,0	99,7680530548096
41,0	99,6714630126953
42,0	99,6541075706482
43,0	99,631498336792
44,0	99,6195011138916
45,0	99,670177936554
46,0	99,6430854797363
47,0	99,6298384666443
48,0	99,6128249168396
49,0	99,5990414619446
50,0	99,5698018074036
51,0	99,5630307197571
52,0	99,5616765022278
53,0	99,5814719200134
54,0	99,5814719200134
55,0	99,6024808883667
56,0	99,6024808883667
57,0	99,6024260520935
58,0	99,6054673194885
59,0	99,5902771949768
60,0	99,5843667984009
61,0	99,5678648948669
62,0	99,6066761016846
63,0	99,5903191566467
64,0	99,6277642250061
65,0	99,5917453765869
66,0	99,58269739151
67,0	99,5919361114502
68,0	99,6284666061401
69,0	99,6193041801453
70,0	99,6193041801453
71,0	99,5711908340454
72,0	99,562876701355
73,0	99,5681834220886
74,0	99,5677208900452
75,0	99,5791049003601
76,0	99,5330352783203
77,0	99,5387105941772
78,0	99,5434093475342
79,0	99,5394067764282
80,0	99,53662109375
81,0	99,5438385009766
82,0	99,5438385009766
83,0	99,5575523376465
84,0	99,5597896575928
85,0	99,5603423118591
86,0	99,5702395439148
87,0	99,5767340660095
88,0	99,5790181159973
89,0	99,5295090675354
90,0	99,524847984314
91,0	99,53924036026
92,0	99,5378365516663
93,0	99,531240940094
94,0	99,5277242660522
95,0	99,5360136032104
96,0	99,5406384468079
97,0	99,5406384468079
98,0	99,5319228172302
99,0	99,5311937332153
100,0	99,5311937332153
110,0	99,5451712608337
120,0	99,5451712608337
130,0	99,5663261413574
140,0	99,5663261413574
150,0	99,5669283866882
160,0	99,5669283866882
170,0	99,5733671188354
180,0	99,5255174636841
190,0	99,662296295166
200,0	99,6638259887695
210,0	99,5725827217102
220,0	99,6193318367004
230,0	99,7818794250488
240,0	99,6716623306274
250,0	99,7236371040344
260,0	99,7144923210144
270,0	99,6989965438843
280,0	99,664324760437
290,0	99,6602110862732
300,0	99,671591758728
310,0	99,7031569480896
320,0	99,6344246864319
330,0	99,6436853408813
340,0	99,7538323402405
350,0	99,7472767829895
360,0	99,8254661560059
370,0	99,8514823913574
