f [MHz]	U [dBuV]
3,1	82,9108963012695
3,2	92,981502532959
3,3	92,8787460327148
3,4	92,9252014160156
3,5	93,0402679443359
3,6	93,1456279754639
3,7	93,2193775177002
3,8	93,2577610015869
3,9	93,3501644134521
4,0	93,3924388885498
4,1	93,4904479980469
4,2	93,6502323150635
4,3	93,7883920669556
4,4	93,9309787750244
4,5	94,0715732574463
4,6	95,0870389938354
4,7	96,1538991928101
4,8	96,1538991928101
4,9	98,3134307861328
5,0	98,3134307861328
5,1	96,0500001907349
5,2	94,8801469802856
5,3	93,6712036132813
5,4	93,5721120834351
5,5	93,4559125900269
5,6	93,3628492355347
5,7	93,2410135269165
5,8	93,2697496414185
5,9	93,2643299102783
6,0	93,2942876815796
6,1	93,264591217041
6,2	93,2392139434814
6,3	93,2812652587891
6,4	93,2526607513428
6,5	93,2260761260986
6,6	93,2608518600464
6,7	93,2129554748535
6,8	93,212327003479
6,9	93,1602401733398
7,0	93,1540575027466
7,1	93,1478395462036
7,2	93,136625289917
7,3	93,1096858978271
7,4	93,0930891036987
7,5	93,0786924362183
7,6	93,0590496063232
7,7	93,0713768005371
7,8	93,0442695617676
7,9	93,0558824539185
8,0	93,0273456573486
8,1	93,0105018615723
8,2	92,9402561187744
8,3	92,9712381362915
8,4	92,9524459838867
8,5	92,9814338684082
8,6	92,9569625854492
8,7	92,9352035522461
8,8	92,9505090713501
8,9	92,9289121627808
9,0	92,9559946060181
9,1	92,9777145385742
9,2	92,9515190124512
9,3	92,9762401580811
9,4	92,9858894348145
9,5	93,0173807144165
9,6	93,0402059555054
9,7	93,0021228790283
9,8	93,0262212753296
9,9	93,0596284866333
10,0	93,0601806640625
11,0	93,0836191177368
12,0	93,144118309021
13,0	93,2333278656006
14,0	93,3306789398193
15,0	93,3807888031006
16,0	93,4287843704224
17,0	93,5962247848511
18,0	93,3314065933228
19,0	93,3314065933228
20,0	93,5848169326782
21,0	93,6560373306274
22,0	93,5833148956299
23,0	93,8077211380005
24,0	93,583779335022
25,0	93,8837089538574
26,0	93,5797138214111
27,0	93,8878965377808
28,0	93,50621509552
29,0	93,7854032516479
30,0	93,7475805282593
31,0	93,7918634414673
32,0	93,7743139266968
33,0	93,8076848983765
34,0	93,7681226730347
35,0	93,694167137146
36,0	93,7100248336792
37,0	93,7067365646362
38,0	93,755711555481
39,0	93,7854604721069
40,0	93,7602491378784
41,0	93,726879119873
42,0	93,7109069824219
43,0	93,6268167495728
44,0	93,6713523864746
45,0	93,6531543731689
46,0	93,6366672515869
47,0	93,6235752105713
48,0	93,6633682250977
49,0	93,6396656036377
50,0	93,6309566497803
51,0	93,6129417419434
52,0	93,6125621795654
53,0	93,6230564117432
54,0	93,6417722702026
55,0	93,6477041244507
56,0	93,6409978866577
57,0	93,6514825820923
58,0	93,6514825820923
59,0	93,6420907974243
60,0	93,6226806640625
61,0	93,6210155487061
62,0	93,6008672714233
63,0	93,6008672714233
64,0	93,6206836700439
65,0	93,6376276016235
66,0	93,623067855835
67,0	93,623067855835
68,0	93,6259250640869
69,0	93,6273603439331
70,0	93,6287746429443
71,0	93,6284332275391
72,0	93,609769821167
73,0	93,5633678436279
74,0	93,5704298019409
75,0	93,5848979949951
76,0	93,596866607666
77,0	93,5990753173828
78,0	93,5976247787476
79,0	93,600302696228
80,0	93,6062068939209
81,0	93,544508934021
82,0	93,5489959716797
83,0	93,5534734725952
84,0	93,5640316009521
85,0	93,5656223297119
86,0	93,5697860717773
87,0	93,5807752609253
88,0	93,5837354660034
89,0	93,5852203369141
90,0	93,5848693847656
91,0	93,5882749557495
92,0	93,588171005249
93,0	93,581485748291
94,0	93,581485748291
95,0	93,5993232727051
96,0	93,5985326766968
97,0	93,5979690551758
98,0	93,5444927215576
