f [MHz]	U [dBuV]
3,1	96,4307289123535
3,2	98,9144239425659
3,3	98,8246765136719
3,4	98,8872013092041
3,5	99,0324540138245
3,6	99,1423387527466
3,7	99,2243113517761
3,8	99,2692022323608
3,9	99,3678455352783
4,0	99,4143705368042
4,1	99,5182228088379
4,2	99,6781411170959
4,3	99,8202052116394
4,4	99,9617109298706
4,5	100,112978458405
4,6	101,124849796295
4,7	102,171371936798
4,8	103,254681348801
4,9	104,315448760986
5,0	103,19426035881
5,1	102,062974452972
5,2	100,916245937347
5,3	99,7062206268311
5,4	99,6076583862305
5,5	99,5022797584534
5,6	99,4026341438293
5,7	99,2853121757507
5,8	99,315628528595
5,9	99,3075847625732
6,0	99,3384718894959
6,1	99,3112764358521
6,2	99,2904105186462
6,3	99,3310370445251
6,4	99,3056755065918
6,5	99,2748832702637
6,6	99,3143591880798
6,7	99,2673664093018
6,8	99,267822265625
6,9	99,2161335945129
7,0	99,2147688865662
7,1	99,2037987709045
7,2	99,1922817230225
7,3	99,1672286987305
7,4	99,1474032402039
7,5	99,1352758407593
7,6	99,1162786483765
7,7	99,1325206756592
7,8	99,1015009880066
7,9	99,1143789291382
8,0	99,086658000946
8,1	99,070228099823
8,2	98,9996395111084
8,3	99,0303120613098
8,4	99,0134105682373
8,5	99,0395584106445
8,6	99,0165367126465
8,7	98,9928817749023
8,8	99,1735701560974
8,9	98,9878540039063
9,0	99,0142364501953
9,1	99,0343151092529
9,2	99,0047097206116
9,3	99,0334830284119
9,4	99,0460448265076
9,5	99,0962252616882
9,6	99,0590991973877
9,7	98,923511505127
9,8	99,1142320632935
9,9	99,114043712616
10,0	99,1162924766541
11,0	99,1379928588867
12,0	99,194004535675
13,0	99,2835202217102
14,0	99,3716711997986
15,0	99,3716711997986
16,0	99,4622178077698
17,0	99,6229429244995
18,0	99,3531217575073
19,0	99,3531217575073
20,0	99,6260275840759
21,0	99,6929402351379
22,0	99,6168823242188
23,0	99,6168823242188
24,0	99,6116719245911
25,0	99,6116719245911
26,0	99,6037516593933
27,0	99,6037516593933
28,0	99,5248994827271
29,0	99,5248994827271
30,0	99,718677520752
31,0	99,718677520752
32,0	99,7970752716064
33,0	99,7970752716064
34,0	99,7349452972412
35,0	99,7349452972412
36,0	99,7341356277466
37,0	99,7341356277466
38,0	99,780611038208
39,0	99,8109879493713
40,0	99,7882323265076
41,0	99,700366973877
42,0	99,6838898658752
43,0	99,6559143066406
44,0	99,6448192596436
45,0	99,6448192596436
46,0	99,669451713562
47,0	99,669451713562
48,0	99,6416997909546
49,0	99,6416997909546
50,0	99,6093873977661
51,0	99,6093873977661
52,0	99,5939426422119
53,0	99,6060647964478
54,0	99,6236877441406
55,0	99,6290745735168
56,0	99,6243634223938
57,0	99,6346716880798
58,0	99,6359276771545
59,0	99,6303105354309
60,0	99,609121799469
61,0	99,6048374176025
62,0	99,6409935951233
63,0	99,6267476081848
64,0	99,6617941856384
65,0	99,6256523132324
66,0	99,6087646484375
67,0	99,6341471672058
68,0	99,6683263778687
69,0	99,6725811958313
70,0	99,6705951690674
71,0	99,6173143386841
72,0	99,6006026268005
73,0	99,6032600402832
74,0	99,6128282546997
75,0	99,626088142395
76,0	99,5834784507751
77,0	99,5875301361084
78,0	99,5873880386353
79,0	99,5897331237793
80,0	99,5935111045837
81,0	99,5845432281494
82,0	99,5898756980896
83,0	99,592209815979
84,0	99,6030435562134
85,0	99,6049776077271
86,0	99,608304977417
87,0	99,6190414428711
88,0	99,6211047172546
89,0	99,5747065544128
90,0	99,5742173194885
91,0	99,5754699707031
92,0	99,5750908851624
93,0	99,5724534988403
94,0	99,5724534988403
95,0	99,5854725837708
96,0	99,5854725837708
97,0	99,5836944580078
98,0	99,5836944580078
99,0	99,5798964500427
100,0	99,5798964500427
110,0	99,5719089508057
120,0	99,5719089508057
130,0	99,6079144477844
140,0	99,6079144477844
150,0	99,6046280860901
160,0	99,5795102119446
170,0	99,631805896759
180,0	99,5998210906982
190,0	99,7322378158569
200,0	99,7048201560974
210,0	99,6251063346863
220,0	99,6661214828491
230,0	99,8219957351685
240,0	99,7089028358459
250,0	99,7537989616394
260,0	99,7537989616394
270,0	99,7537097930908
280,0	99,7537097930908
290,0	99,7287039756775
300,0	99,737642288208
310,0	99,737642288208
320,0	99,6992340087891
330,0	99,7227091789246
340,0	99,8268761634827
350,0	99,8180174827576
360,0	99,8651895523071
370,0	99,9083499908447
380,0	99,8308653831482
390,0	99,8558096885681
400,0	99,8416433334351
410,0	99,7974319458008
420,0	99,7842164039612
430,0	99,7822041511536
440,0	99,7539472579956
450,0	99,7173795700073
460,0	99,6391458511353
470,0	99,5781984329224
480,0	99,62965965271
490,0	99,6006193161011
500,0	99,6567215919495
510,0	99,6413435935974
520,0	99,6800556182861
530,0	99,7733607292175
540,0	99,7765502929688
550,0	99,8069443702698
560,0	99,8069443702698
570,0	99,7776112556458
580,0	99,7776112556458
590,0	99,7627291679382
600,0	99,7604026794434
610,0	99,8016257286072
620,0	99,7271356582642
630,0	99,7262487411499
640,0	99,7539005279541
650,0	99,7118334770203
660,0	99,6714854240417
670,0	99,6613616943359
680,0	99,7187695503235
690,0	99,6865301132202
700,0	99,5829410552979
710,0	99,6489100456238
720,0	99,7522439956665
730,0	99,6845073699951
740,0	99,7536363601685
750,0	99,7435283660889
760,0	99,7443799972534
770,0	99,6400899887085
780,0	99,6122450828552
790,0	99,7978129386902
800,0	99,6642136573792
810,0	99,6642823219299
820,0	99,6788878440857
830,0	99,6788878440857
840,0	99,6815929412842
850,0	99,6815929412842
860,0	99,6649055480957
870,0	99,6649055480957
880,0	99,6156620979309
890,0	99,6156620979309
900,0	99,6778473854065
910,0	99,6863765716553
920,0	99,6302380561829
930,0	99,6609272956848
940,0	99,6859464645386
950,0	99,6859464645386
960,0	99,6403636932373
970,0	99,6403636932373
980,0	99,6094355583191
990,0	99,6094355583191
1000,0	99,7196173667908
1100,0	99,7196173667908
1200,0	99,4791164398193
1300,0	99,4140787124634
1400,0	99,5259532928467
1500,0	99,558536529541
1600,0	99,5549998283386
1700,0	99,4350671768188
1800,0	99,4455752372742
1900,0	99,4347448348999
2000,0	99,4197516441345
2100,0	99,3592228889465
2200,0	99,3231210708618
2300,0	99,3215503692627
2400,0	99,1933627128601
2500,0	99,3054528236389
2600,0	99,2628011703491
2700,0	99,4490833282471
2800,0	99,4443783760071
2900,0	99,3873529434204
3000,0	99,4189867973328
3100,0	99,4220032691956
3200,0	99,4946823120117
3300,0	99,4009895324707
3400,0	99,4329633712769
3500,0	99,4215335845947
3600,0	99,6912364959717
3700,0	99,9249544143677
3800,0	98,9268283843994
3900,0	99,3076119422913
4000,0	98,8312110900879
4100,0	98,9243431091309
4200,0	99,1135048866272
4300,0	99,3925004005432
4400,0	99,5615048408508
4500,0	99,7582712173462
4600,0	99,7460680007935
4700,0	98,9422922134399
4800,0	99,4127464294434
4900,0	100,009061813354
5000,0	100,010643482208
5100,0	99,3647837638855
5200,0	99,4503803253174
5300,0	99,1855711936951
5400,0	99,4716973304749
5500,0	99,3377084732056
5600,0	99,5356640815735
5700,0	99,2684469223022
5800,0	98,9162693023682
5900,0	99,4107251167297
6000,0	99,1454839706421
6100,0	99,4300227165222
6200,0	99,322783946991
6300,0	99,6498618125916
6400,0	98,8818454742432
6500,0	99,5138902664185
6600,0	99,3862795829773
6700,0	99,8757019042969
6800,0	99,1890239715576
6900,0	99,5951266288757
7000,0	99,0506863594055
7100,0	99,1983313560486
7200,0	99,2628936767578
7300,0	99,3928189277649
7400,0	98,9863080978394
7500,0	98,8581533432007
7600,0	99,0491561889648
7700,0	98,958288192749
7800,0	99,0036377906799
7900,0	99,0036377906799
8000,0	99,0305070877075
8100,0	98,5242948532104
8200,0	99,5359902381897
8300,0	98,6269149780273
8400,0	99,1754975318909
8500,0	98,8886308670044
8600,0	99,2710766792297
8700,0	98,3302993774414
8800,0	99,5692939758301
8900,0	98,7122201919556
9000,0	99,4060606956482
9100,0	98,4725875854492
9200,0	99,1412010192871
9300,0	98,3455410003662
9400,0	98,8708295822144
9500,0	98,1882600784302
9600,0	98,5556058883667
9700,0	97,7160501480103
9800,0	98,8069076538086
9900,0	98,2805786132813
10000,0	98,6507635116577
11000,0	98,2996883392334
12000,0	98,2996883392334
13000,0	99,3595032691956
14000,0	98,4138231277466
15000,0	97,3585414886475
16000,0	97,5336122512817
17000,0	97,6237001419067
18000,0	97,6237001419067
19000,0	98,2667150497437
20000,0	98,8665161132813
21000,0	97,7674160003662
22000,0	98,2545442581177
23000,0	98,5087060928345
24000,0	98,2456045150757
25000,0	98,5708513259888
26000,0	98,5708513259888
27000,0	97,7174873352051
28000,0	97,8212146759033
29000,0	97,9036998748779
30000,0	97,9036998748779
31000,0	97,892915725708
32000,0	98,0736980438232
33000,0	97,4487781524658
34000,0	97,8570318222046
35000,0	97,1369609832764
36000,0	96,6370334625244
37000,0	97,7409629821777
38000,0	98,2297840118408
39000,0	98,2297840118408
40000,0	95,7800626754761
