f [MHz]	U [dBuV]
3,1	85,6390209197998
3,2	92,9893064498901
3,3	92,8870315551758
3,4	92,9510631561279
3,5	93,064471244812
3,6	93,1684188842773
3,7	93,2446451187134
3,8	93,2856473922729
3,9	93,377311706543
4,0	93,4177656173706
4,1	93,5162763595581
4,2	93,6757793426514
4,3	93,8135604858398
4,4	93,9568319320679
4,5	94,098424911499
4,6	95,1132669448853
4,7	96,1795530319214
4,8	97,25319480896
4,9	98,3419914245605
5,0	98,3419914245605
5,1	96,0810880661011
5,2	94,9067707061768
5,3	93,6957473754883
5,4	93,5968132019043
5,5	93,4899320602417
5,6	93,3847379684448
5,7	93,2645959854126
5,8	93,2987661361694
5,9	93,2893886566162
6,0	93,3188514709473
6,1	93,2869157791138
6,2	93,2645502090454
6,3	93,3024053573608
6,4	93,2797822952271
6,5	93,2474765777588
6,6	93,2852306365967
6,7	93,2408819198608
6,8	93,2365713119507
6,9	93,1886672973633
7,0	93,1874046325684
7,1	93,1717147827148
7,2	93,161826133728
7,3	93,1329755783081
7,4	93,1167659759521
7,5	93,1040506362915
7,6	93,0842981338501
7,7	93,101902961731
7,8	93,0696096420288
7,9	93,0817317962646
8,0	93,0651359558105
8,1	93,0346965789795
8,2	92,9677886962891
8,3	92,9959697723389
8,4	92,978422164917
8,5	93,0091438293457
8,6	92,9819459915161
8,7	92,95947265625
8,8	92,9762258529663
8,9	92,9554758071899
9,0	92,9821510314941
9,1	93,0039510726929
9,2	92,9761543273926
9,3	93,0016574859619
9,4	93,0135412216187
9,5	93,0437250137329
9,6	93,0614233016968
9,7	93,028678894043
9,8	93,0480833053589
9,9	93,0861730575562
10,0	93,0877323150635
11,0	93,1070795059204
12,0	93,1703853607178
13,0	93,2596302032471
14,0	93,3523578643799
15,0	93,3523578643799
16,0	93,4241905212402
17,0	93,5878105163574
18,0	93,3241138458252
19,0	93,6318740844727
20,0	93,6067028045654
21,0	93,6791515350342
22,0	93,6082277297974
23,0	93,8332777023315
24,0	93,8332777023315
25,0	93,9061651229858
26,0	93,6023797988892
27,0	93,9098739624023
28,0	93,5307178497314
29,0	93,8106851577759
30,0	93,7720832824707
31,0	93,8150453567505
32,0	93,798038482666
33,0	93,8324785232544
34,0	93,7933225631714
35,0	93,7197465896606
36,0	93,7352027893066
37,0	93,7317037582397
38,0	93,7805490493774
39,0	93,8109588623047
40,0	93,7874565124512
41,0	93,7506694793701
42,0	93,7381639480591
43,0	93,6522483825684
44,0	93,6950435638428
45,0	93,6771955490112
46,0	93,6589841842651
47,0	93,6467962265015
48,0	93,687310218811
49,0	93,6634082794189
50,0	93,6534643173218
51,0	93,6354551315308
52,0	93,6350107192993
53,0	93,6451063156128
54,0	93,6654987335205
55,0	93,6689672470093
56,0	93,6648578643799
57,0	93,6728782653809
58,0	93,6746025085449
59,0	93,6653499603271
60,0	93,64621925354
61,0	93,6447134017944
62,0	93,6233625411987
63,0	93,6651592254639
64,0	93,6446371078491
65,0	93,6615409851074
66,0	93,6449661254883
67,0	93,6685647964478
68,0	93,6505889892578
69,0	93,648551940918
70,0	93,650502204895
71,0	93,6507902145386
72,0	93,6326169967651
73,0	93,5842885971069
74,0	93,5924406051636
75,0	93,6062088012695
76,0	93,615894317627
77,0	93,6194181442261
78,0	93,620306968689
79,0	93,620306968689
80,0	93,6276378631592
81,0	93,5644083023071
82,0	93,5699291229248
83,0	93,5734510421753
84,0	93,585521697998
85,0	93,5892562866211
86,0	93,5915355682373
87,0	93,6018857955933
88,0	93,60373878479
89,0	93,6062326431274
90,0	93,6032857894897
91,0	93,6066160202026
92,0	93,608416557312
93,0	93,6030693054199
94,0	93,6044273376465
95,0	93,6183519363403
96,0	93,619101524353
97,0	93,6187467575073
98,0	93,564977645874
99,0	93,5643615722656
100,0	93,5633211135864
110,0	93,5556411743164
120,0	93,5863437652588
130,0	93,5852937698364
140,0	93,5873470306396
150,0	93,5713901519775
160,0	93,6139402389526
170,0	93,6671524047852
180,0	93,6354312896729
190,0	93,7669153213501
200,0	93,6835145950317
210,0	93,6534585952759
220,0	93,6427135467529
230,0	93,7921104431152
240,0	93,7239332199097
250,0	93,7657594680786
260,0	93,7783441543579
270,0	93,7240390777588
280,0	93,7663450241089
290,0	93,7477216720581
300,0	93,706226348877
310,0	93,795859336853
320,0	93,7159843444824
330,0	93,7404880523682
340,0	93,8352031707764
350,0	93,8352031707764
360,0	93,8818712234497
370,0	93,8685913085938
380,0	93,7778224945068
390,0	93,8579750061035
400,0	93,8164587020874
410,0	93,8306016921997
420,0	93,7871742248535
430,0	93,7623434066772
440,0	93,7386808395386
450,0	93,7175359725952
460,0	93,6549978256226
470,0	93,6065483093262
480,0	93,5933952331543
490,0	93,5798625946045
500,0	93,585880279541
510,0	93,6691408157349
520,0	93,6645832061768
530,0	93,7443809509277
540,0	93,7259826660156
550,0	93,7881183624268
560,0	93,8165292739868
570,0	93,7605142593384
580,0	93,7512226104736
590,0	93,7509622573853
600,0	93,7366619110107
610,0	93,7809753417969
620,0	93,7099571228027
630,0	93,7110204696655
640,0	93,6877861022949
650,0	93,6740617752075
660,0	93,6761484146118
670,0	93,6782674789429
680,0	93,6860437393188
690,0	93,6798057556152
700,0	93,5868473052979
710,0	93,6711759567261
720,0	93,732476234436
730,0	93,682975769043
740,0	93,7186241149902
750,0	93,6997404098511
760,0	93,6970386505127
770,0	93,6596450805664
780,0	93,6293134689331
790,0	93,7391557693481
800,0	93,6838541030884
810,0	93,6572914123535
820,0	93,6534814834595
830,0	93,6527070999146
840,0	93,636058807373
850,0	93,6175575256348
860,0	93,6192779541016
870,0	93,6473245620728
880,0	93,60413646698
890,0	93,6204833984375
900,0	93,6131210327148
910,0	93,656699180603
920,0	93,6586017608643
930,0	93,6693286895752
940,0	93,6286640167236
950,0	93,6286640167236
960,0	93,5934038162231
970,0	93,6120710372925
980,0	93,5902013778687
990,0	93,6214094161987
1000,0	93,6829690933228
1100,0	93,5148916244507
1200,0	93,5148916244507
1300,0	93,3677968978882
1400,0	93,4838495254517
1500,0	93,5146341323853
1600,0	93,4986581802368
1700,0	93,3975973129272
1800,0	93,3975973129272
1900,0	93,3751192092896
2000,0	93,3757600784302
2100,0	93,2974157333374
2200,0	93,2541828155518
2300,0	93,2807893753052
2400,0	93,1315612792969
2500,0	93,2561464309692
2600,0	93,229022026062
2700,0	93,3846664428711
2800,0	93,390266418457
2900,0	93,3394422531128
3000,0	93,3694286346436
3100,0	93,3461380004883
3200,0	93,3957347869873
3300,0	93,3957347869873
3400,0	93,3550233840942
3500,0	93,3397741317749
3600,0	93,6498336791992
3700,0	93,865571975708
3800,0	92,7837047576904
3900,0	93,3192901611328
