f [Hz]	U [V]
1,0	114,62120525364176
2,0	120,74383766386023
3,0	120,45026714935076
4,0	119,64698351551311
5,0	119,8965350833084
6,0	120,21225961004694
7,0	120,09866628470333
8,0	119,99283632119896
9,0	119,94182304704792
10,0	119,84414189857617
20,0	119,99925814092492
30,0	119,99872725142295
40,0	119,9982285562549
50,0	119,9983581747862
60,0	119,998580794707
70,0	119,99887882863634
80,0	119,99876093820683
90,0	119,99811139418159
100,0	119,99842408906042
200,0	119,99828641181749
300,0	119,9981348242654
400,0	119,99855736582614
500,0	119,99862180431066
600,0	119,9983742940361
700,0	119,99881146813772
800,0	119,99812823878415
900,0	119,99844165792513
1000,0	119,99837135768105
2000,0	119,9962628107884
3000,0	119,99457647488603
4000,0	119,99442262237827
5000,0	119,9932305387585
6000,0	119,99019061628084
7000,0	119,98509482329781
8000,0	119,9804634770766
9000,0	119,97981256324584
10000,0	119,98130659215121
