f [Hz]	U [V]
1,0	104,50287408918213
2,0	113,67542313459474
3,0	113,49126755364037
4,0	113,69475876342548
5,0	113,42325807666208
6,0	114,11489961570958
7,0	113,69770883201907
8,0	113,91277349221853
9,0	113,94123774048447
10,0	113,95588610768056
20,0	113,92520027378416
30,0	113,91714977358275
40,0	113,91743294054776
50,0	113,91747792375452
60,0	113,91628695314496
70,0	113,9166195653818
80,0	113,91702367668914
90,0	113,91680909001198
100,0	113,91715642974546
200,0	113,91766522756188
300,0	113,91760624090688
400,0	113,91722573766451
500,0	113,9164270670765
600,0	113,91651484128977
700,0	113,91693224539867
800,0	113,91707383358096
900,0	113,91711881864751
1000,0	113,91683267204058
2000,0	113,91484499948922
3000,0	113,91371488438564
4000,0	113,91289744752481
5000,0	113,91156563378013
6000,0	113,90802368386548
7000,0	113,90366939256094
8000,0	113,89955379716106
9000,0	113,89875278080227
10000,0	113,89859906548529
