f [MHz]	U [dBuV]
800,0	92,9359788894653
802,0	100,947484970093
804,0	114,786363124847
806,0	114,846235275269
808,0	114,685062885284
810,0	114,855318069458
812,0	114,737310886383
814,0	114,721607685089
816,0	114,755571365356
818,0	114,760773658752
820,0	114,743846416473
822,0	114,744411468506
824,0	114,734917163849
826,0	114,724540233612
828,0	114,718822002411
830,0	114,814116477966
832,0	114,656507968903
834,0	114,769417762756
836,0	114,756465435028
838,0	114,676341056824
840,0	114,739661693573
842,0	114,661110877991
844,0	114,719371318817
846,0	110,984557151794
848,0	114,63103055954
850,0	114,613066673279
852,0	114,589114189148
854,0	114,608189105988
856,0	114,604780673981
858,0	114,599788188934
860,0	114,557018756866
862,0	114,619648456573
864,0	114,598185539246
866,0	114,572485923767
868,0	114,551133155823
870,0	114,593299388886
872,0	114,587801456451
874,0	114,542862415314
876,0	114,562338352203
878,0	114,542250156403
880,0	114,572480201721
882,0	82,4036560058594
884,0	114,82707118988
886,0	114,535130977631
888,0	114,559075832367
890,0	114,551027297974
892,0	114,471664428711
894,0	114,465018749237
896,0	114,513722419739
898,0	114,513800144196
900,0	114,537711620331
902,0	114,527857303619
904,0	114,513866424561
906,0	114,488649845123
908,0	114,417463779449
910,0	114,487471580505
912,0	114,44721364975
914,0	114,451096057892
916,0	114,446653842926
918,0	114,390680789948
920,0	114,433196544647
922,0	114,420300960541
924,0	114,43056344986
926,0	114,418743133545
928,0	86,057373046875
930,0	114,446850299835
932,0	114,396944522858
934,0	114,402327060699
936,0	114,393411636353
938,0	114,426155090332
940,0	114,406300544739
942,0	114,401638031006
944,0	114,439513206482
946,0	114,415683269501
948,0	114,33976984024
950,0	114,373239040375
952,0	114,270423412323
954,0	114,323010921478
956,0	114,381137371063
958,0	114,226800918579
960,0	114,293128490448
962,0	114,258632659912
964,0	114,250813961029
966,0	114,286346435547
968,0	114,284299850464
970,0	114,242374897003
972,0	114,253542900085
974,0	114,246006011963
976,0	114,285846233368
978,0	114,209623336792
980,0	114,268172264099
982,0	114,260413646698
984,0	114,348481655121
986,0	114,264021873474
988,0	114,225252151489
990,0	114,247925758362
992,0	114,241057395935
994,0	114,280963420868
996,0	114,20446395874
998,0	114,188942432404
1000,0	114,238797664642
1010,0	114,127784252167
1020,0	114,181218624115
1030,0	114,109322071075
1040,0	114,112885475159
1050,0	114,120666027069
1060,0	114,019546031952
1070,0	113,976275920868
1080,0	113,926717281342
1090,0	113,894241809845
1100,0	113,856160163879
1110,0	113,966597080231
1120,0	113,800879001617
