f [MHz]	U [dBuV]
800,0	91,9292688369751
802,0	117,175971031189
804,0	117,330513954163
806,0	117,460327148438
808,0	117,448762893677
810,0	117,350505828857
812,0	117,240246772766
814,0	117,285622596741
816,0	117,311490058899
818,0	117,293997764587
820,0	117,298848152161
822,0	117,311812400818
824,0	117,338912963867
826,0	117,375378608704
828,0	117,413851737976
830,0	117,462170600891
832,0	117,506585121155
834,0	117,65553188324
836,0	117,721236228943
838,0	117,721708297729
840,0	117,848936080933
842,0	117,879014968872
844,0	117,980907440186
846,0	118,034603118896
848,0	118,081910133362
850,0	118,151783943176
852,0	118,262639045715
854,0	118,330678939819
856,0	118,344623565674
858,0	118,34695148468
860,0	118,394181251526
862,0	118,482977867126
864,0	118,499594688416
866,0	118,503269195557
868,0	118,507242202759
870,0	118,555223464966
872,0	118,580532073975
874,0	118,560893058777
876,0	118,594585418701
878,0	118,594977378845
880,0	118,636177062988
882,0	118,631552696228
884,0	118,650472640991
886,0	118,651280403137
888,0	118,671879768372
890,0	118,681619644165
892,0	118,637813568115
894,0	118,652973175049
896,0	118,655007362366
898,0	118,674055099487
900,0	118,733983039856
902,0	118,738201141357
904,0	118,72620677948
906,0	118,721831321716
908,0	118,734922409058
910,0	118,779189109802
912,0	118,77339553833
914,0	118,73425579071
916,0	118,746579170227
918,0	118,793612480164
920,0	118,853677749634
922,0	118,843803405762
924,0	118,80738735199
926,0	118,817242622375
928,0	118,852126121521
930,0	118,87967300415
932,0	118,810480117798
934,0	118,82302570343
936,0	118,845365524292
938,0	118,88819694519
940,0	118,879488945007
942,0	118,862784385681
944,0	118,903400421143
946,0	118,907800674438
948,0	118,831148147583
950,0	118,861310958862
952,0	118,789801597595
954,0	118,891477584839
956,0	118,908410072327
958,0	118,825054168701
960,0	118,776147842407
962,0	118,808349609375
964,0	118,832270622253
966,0	118,849315643311
968,0	118,818902015686
970,0	118,794939994812
972,0	118,818281173706
974,0	118,82705783844
976,0	118,81978225708
978,0	118,823033332825
980,0	118,796275138855
982,0	118,80935382843
984,0	118,826469421387
986,0	118,803113937378
988,0	118,790111541748
990,0	118,855089187622
992,0	118,858633041382
994,0	118,842500686646
996,0	118,759446144104
998,0	118,740528106689
1000,0	118,781097412109
1010,0	118,775776863098
1020,0	118,785407066345
1030,0	118,733237266541
1040,0	118,740983963013
1050,0	118,67494392395
1060,0	118,629487991333
