f [MHz]	U [dBuV]
800,0	92,8607358932495
802,0	117,804902076721
804,0	117,935198783875
806,0	118,018652915955
808,0	118,03161907196
810,0	117,999373435974
812,0	117,886346817017
814,0	117,917086601257
816,0	117,939723968506
818,0	117,940605163574
820,0	117,934115409851
822,0	117,914441108704
824,0	117,924383163452
826,0	117,919781684875
828,0	117,907527923584
830,0	117,899968147278
832,0	117,909441947937
834,0	118,001152038574
836,0	117,988813400269
838,0	117,919998168945
840,0	117,984323501587
842,0	117,947034835815
844,0	117,956698417664
846,0	117,941301345825
848,0	117,938977241516
850,0	117,9514503479
852,0	118,004579544067
854,0	118,011484146118
856,0	117,975377082825
858,0	117,955641746521
860,0	118,011232376099
862,0	118,085712432861
864,0	118,084844589233
866,0	118,07195854187
868,0	118,065253257751
870,0	118,116954803467
872,0	118,139691352844
874,0	118,115231513977
876,0	118,130096435547
878,0	118,111356735229
880,0	118,15811920166
882,0	118,147760391235
884,0	118,125668525696
886,0	118,114087104797
888,0	118,144600868225
890,0	118,154558181763
892,0	118,081060409546
894,0	118,068078041077
896,0	118,077963829041
898,0	118,109424591064
900,0	118,133551597595
902,0	118,112319946289
904,0	118,089809417725
906,0	118,111595153809
908,0	118,131807327271
910,0	118,137496948242
912,0	118,071623802185
914,0	118,04040145874
916,0	118,08752822876
918,0	118,13334941864
920,0	118,158348083496
922,0	118,125920295715
924,0	118,102926254272
926,0	118,125094413757
928,0	118,148846626282
930,0	118,144455909729
932,0	118,085063934326
934,0	118,102242469788
936,0	118,125354766846
938,0	118,160357475281
940,0	118,138638496399
942,0	118,138833999634
944,0	118,195737838745
946,0	118,184418678284
948,0	118,089990615845
950,0	118,121812820435
952,0	118,085054397583
954,0	118,194128036499
956,0	118,178922653198
958,0	118,056453704834
960,0	118,026530265808
962,0	118,096937179565
964,0	118,114132881165
966,0	118,106546401978
968,0	118,05331325531
970,0	118,041431427002
972,0	118,07947063446
974,0	118,076964378357
976,0	118,050709724426
978,0	118,033939361572
980,0	118,035248756409
982,0	118,048418998718
984,0	118,053093910217
986,0	118,020567893982
988,0	118,011512756348
990,0	118,081285476685
992,0	118,074438095093
994,0	118,050721168518
996,0	117,973867416382
998,0	117,986128807068
1000,0	118,009440422058
1010,0	117,976807594299
1020,0	117,942037582397
1030,0	117,934866905212
1040,0	117,951530456543
1050,0	117,902567863464
1060,0	117,864876747131
1070,0	117,796887397766
1080,0	117,771132469177
1090,0	117,783136367798
1100,0	117,770924568176
1110,0	117,744316101074
1120,0	117,71094417572
1130,0	117,712093353271
1140,0	117,481962203979
1150,0	117,519307136536
1160,0	117,608832359314
1170,0	117,590844154358
1180,0	117,545205116272
1190,0	117,562458992004
1200,0	117,582653999329
1210,0	117,575148582459
1220,0	117,563212394714
1230,0	117,573967933655
1240,0	117,552537918091
1250,0	117,563452720642
1260,0	117,535422325134
1270,0	117,4895362854
1280,0	117,487982749939
1290,0	117,555228233337
1300,0	117,55518913269
1310,0	117,557214736938
1320,0	117,545639038086
1330,0	117,533305168152
1340,0	117,511996269226
1350,0	117,492488861084
1360,0	117,490079879761
1370,0	117,407319068909
1380,0	117,458132743835
1390,0	117,467761039734
1400,0	117,446607589722
1410,0	117,490572929382
1420,0	117,507942199707
1430,0	117,435338973999
1440,0	117,425287246704
1450,0	117,394985198975
1460,0	117,336223602295
1470,0	117,336707115173
1480,0	117,438419342041
1490,0	117,313466072083
1500,0	117,322379112244
1510,0	117,331076622009
1520,0	117,359810829163
1530,0	117,30878162384
1540,0	117,339304924011
1550,0	117,330262184143
1560,0	117,242678642273
1570,0	117,205646514893
1580,0	117,210027694702
1590,0	117,169519424438
1600,0	117,129158973694
1610,0	117,185236930847
1620,0	117,163710594177
1630,0	117,11293888092
1640,0	117,120590209961
1650,0	117,134634017944
1660,0	117,06623840332
1670,0	117,025280952454
1680,0	117,05401134491
1690,0	116,958657264709
1700,0	116,941349983215
1710,0	116,979591369629
1720,0	117,063029289246
1730,0	116,975221633911
1740,0	116,948742866516
1750,0	116,923450469971
1760,0	116,944644927979
1770,0	116,97727394104
1780,0	116,955646514893
1790,0	116,92767906189
