f [MHz]	U [dBuV]
800,0	94,3577976226807
802,0	116,683374404907
804,0	116,903668403625
806,0	117,151607513428
808,0	117,163405418396
810,0	117,040729522705
812,0	116,985200881958
814,0	117,131353378296
816,0	117,165858268738
818,0	117,119666099548
820,0	117,106363296509
822,0	117,160433769226
824,0	117,196712493896
826,0	117,201710700989
828,0	117,222791671753
830,0	117,25569152832
832,0	117,255155563354
834,0	117,327503204346
836,0	117,362121582031
838,0	117,329163551331
840,0	117,403553962708
842,0	117,366811752319
844,0	117,415140151978
846,0	117,418066978455
848,0	117,408046722412
850,0	117,442336082459
852,0	117,536633491516
854,0	117,566000938416
856,0	117,53217124939
858,0	117,527956008911
860,0	117,635066986084
862,0	117,719094276428
864,0	117,718012809753
866,0	117,700570106506
868,0	117,756072998047
870,0	117,816288948059
872,0	117,844366073608
874,0	117,817973136902
876,0	117,87690448761
878,0	117,870469093323
880,0	117,907705307007
882,0	117,891484260559
884,0	117,908074378967
886,0	117,935514450073
888,0	117,926818847656
890,0	117,902030944824
892,0	117,861052513123
894,0	117,883085250854
896,0	117,860295295715
898,0	117,85059261322
900,0	117,891059875488
902,0	117,902617454529
904,0	117,868245124817
906,0	117,849974632263
908,0	117,876853942871
910,0	117,947294235229
912,0	117,878693580627
914,0	117,809391975403
916,0	117,829654693604
918,0	117,943125724792
920,0	118,000396728516
922,0	117,926475524902
924,0	117,880907058716
926,0	117,938992500305
928,0	118,025321960449
930,0	118,00284576416
932,0	117,913355827332
934,0	117,940198898315
936,0	118,009840965271
938,0	118,060671806335
940,0	118,01452255249
942,0	118,013023376465
944,0	118,105995178223
946,0	118,127568244934
948,0	118,033433914185
950,0	118,052585601807
952,0	118,04132938385
954,0	118,167655944824
956,0	118,15197467804
958,0	118,031050682068
960,0	118,004370689392
962,0	118,073283195496
964,0	118,097420692444
966,0	118,09760761261
968,0	118,041860580444
970,0	118,035242080688
972,0	118,07061290741
974,0	118,069951057434
976,0	118,043583869934
978,0	118,035736083984
980,0	118,023996353149
982,0	118,04363822937
984,0	118,051299095154
986,0	118,026615142822
988,0	118,008313179016
990,0	118,084512710571
992,0	118,073608398438
994,0	118,048155784607
996,0	117,971358299255
998,0	117,979127883911
1000,0	118,005947113037
1010,0	117,955920219421
1020,0	117,964591026306
1030,0	117,926224708557
1040,0	117,938471794128
1050,0	117,889052391052
1060,0	117,857148170471
1070,0	117,790229797363
1080,0	117,777942657471
1090,0	117,785598754883
1100,0	117,78141784668
1110,0	117,757357597351
1120,0	117,768739700317
1130,0	117,726570129395
1140,0	117,493197441101
1150,0	117,534064292908
1160,0	117,620510101318
1170,0	117,619606018066
1180,0	117,576774597168
1190,0	117,593707084656
1200,0	117,60871887207
1210,0	117,600661277771
1220,0	117,598315238953
1230,0	117,604022026062
1240,0	117,584283828735
1250,0	117,593538284302
1260,0	117,556950569153
1270,0	117,514100074768
1280,0	117,526077270508
1290,0	117,591646194458
1300,0	117,591115951538
1310,0	117,594320297241
1320,0	117,580264091492
1330,0	117,563141822815
1340,0	117,53263759613
1350,0	117,504919052124
1360,0	117,498296737671
1370,0	117,420511245728
1380,0	117,470723152161
1390,0	117,482966423035
1400,0	117,465038299561
1410,0	117,499742507935
1420,0	117,520687103271
1430,0	117,444185256958
1440,0	117,434670448303
1450,0	117,393384933472
1460,0	117,340294837952
1470,0	117,325860977173
1480,0	117,42308807373
1490,0	117,287937164307
1500,0	117,301697731018
1510,0	117,315299034119
1520,0	117,348052978516
1530,0	117,299949645996
1540,0	117,333386421204
1550,0	117,312185287476
1560,0	117,233820915222
1570,0	117,185342788696
1580,0	117,184553146362
1590,0	117,148321151733
1600,0	117,105958938599
1610,0	117,170907020569
1620,0	117,145163536072
1630,0	117,104402542114
1640,0	117,108933448792
1650,0	117,116064071655
1660,0	117,061539649963
1670,0	117,013591766357
1680,0	117,064058303833
1690,0	116,973726272583
1700,0	116,981423377991
1710,0	117,010981559753
1720,0	117,094139099121
1730,0	116,997988700867
1740,0	116,971259117126
1750,0	116,931740760803
1760,0	116,924180030823
1770,0	116,936413764954
1780,0	116,913775444031
1790,0	116,866645812988
1800,0	116,859886169434
1810,0	116,807654380798
1820,0	116,708777427673
1830,0	116,74808883667
1840,0	116,715803146362
1850,0	116,698267936707
1860,0	116,714816093445
1870,0	116,756030082703
1880,0	116,701684951782
1890,0	116,724935531616
1900,0	116,7529296875
1910,0	116,740859985352
1920,0	116,738500595093
1930,0	116,65131855011
1940,0	116,495777130127
1950,0	116,429533004761
1960,0	116,560289382935
1970,0	116,606118202209
1980,0	116,506680488586
1990,0	116,541374206543
2000,0	116,551956176758
2010,0	116,515159606934
2020,0	116,612115859985
2030,0	116,604269981384
2040,0	116,591830253601
2050,0	116,543591499329
2060,0	116,504771232605
2070,0	116,4928150177
2080,0	116,437530517578
2090,0	116,448906898499
2100,0	116,401308059692
2110,0	116,37672996521
2120,0	116,351566314697
2130,0	116,340087890625
2140,0	116,338290214539
2150,0	116,262253761292
2160,0	116,287490844727
2170,0	116,306621551514
2180,0	116,204042434692
2190,0	116,279503822327
2200,0	116,309600830078
2210,0	116,269467353821
2220,0	116,323174476624
2230,0	116,316347122192
2240,0	116,29370880127
2250,0	116,24680519104
2260,0	116,239872932434
2270,0	116,261984825134
2280,0	116,074336051941
2290,0	116,05152130127
2300,0	115,935681343079
2310,0	115,944125175476
2320,0	115,937788009644
2330,0	115,981321334839
2340,0	116,05384349823
2350,0	116,060571670532
2360,0	115,967224121094
2370,0	115,967681884766
2380,0	115,957166671753
2390,0	115,965682029724
2400,0	115,981288909912
2410,0	115,983180046082
2420,0	116,05926322937
2430,0	115,981961250305
2440,0	116,006969451904
2450,0	115,979548454285
2460,0	115,998385429382
2470,0	115,963609695435
2480,0	115,957062721252
2490,0	116,329618453979
2500,0	115,976256370544
2510,0	116,004907608032
2520,0	115,92027759552
2530,0	115,825635910034
2540,0	115,873802185059
2550,0	115,881860733032
2560,0	115,849646568298
2570,0	115,893808364868
2580,0	115,799620628357
2590,0	115,803311347961
2600,0	115,783107757568
2610,0	115,720834732056
2620,0	115,723115921021
2630,0	115,68531703949
2640,0	115,688685417175
2650,0	115,707803726196
2660,0	115,711976051331
2670,0	115,653741836548
2680,0	115,639553070068
2690,0	115,657664299011
2700,0	115,595364570618
2710,0	115,590566635132
2720,0	115,515885353088
2730,0	115,402685165405
2740,0	115,395822525024
2750,0	115,355012893677
2760,0	115,376673698425
2770,0	115,314903259277
2780,0	115,295666694641
2790,0	115,341653823853
2800,0	115,30321598053
2810,0	115,283534049988
2820,0	115,318330764771
2830,0	115,258490562439
2840,0	115,315901756287
2850,0	115,307541847229
2860,0	115,338041305542
2870,0	115,419916152954
2880,0	115,377397537231
2890,0	115,365642547607
2900,0	115,41548538208
2910,0	115,396892547607
2920,0	115,398554801941
2930,0	115,380838394165
2940,0	115,263022422791
2950,0	115,181782722473
2960,0	115,181127548218
2970,0	115,20704460144
2980,0	115,171001434326
2990,0	115,178303718567
3000,0	115,146431922913
3050,0	115,12749671936
3100,0	115,016766548157
3150,0	114,796258926392
3200,0	114,585993766785
3250,0	114,501026630402
3300,0	114,518201351166
3350,0	114,448642730713
3400,0	114,323844909668
3450,0	114,340925693512
3500,0	114,226679325104
3550,0	114,182869434357
3600,0	114,691543579102
3650,0	114,437255382538
3700,0	113,653692245483
3750,0	113,257342338562
3800,0	113,728094100952
3850,0	113,559410095215
3900,0	112,978425502777
3950,0	112,861888885498
4000,0	113,175417423248
4050,0	113,157272815704
4100,0	113,027614116669
4150,0	113,363671302795
4200,0	113,548033714294
4250,0	113,711164474487
4300,0	113,431749343872
4350,0	113,631698608398
4400,0	113,964445114136
4450,0	113,641300201416
4500,0	113,640382289886
4550,0	113,845173835754
4600,0	113,78661775589
4650,0	113,097140789032
4700,0	113,06408405304
4750,0	113,315084934235
4800,0	113,510916233063
4850,0	113,673299789429
4900,0	113,632639408112
4950,0	113,562693119049
5000,0	112,886801719666
5050,0	112,46050453186
5100,0	112,659712791443
5150,0	112,155300140381
5200,0	112,139756202698
5250,0	112,054550170898
5300,0	112,215267181396
5350,0	112,0368309021
5400,0	111,684524059296
5450,0	111,778732299805
5500,0	112,155345916748
5550,0	111,954102993011
5600,0	111,275364875793
5650,0	111,614605903625
5700,0	111,830300807953
5750,0	111,137376308441
5800,0	111,142764568329
5850,0	111,30702495575
5900,0	111,326710700989
5950,0	111,033102035522
6000,0	111,218763828278
6050,0	111,523854732513
6100,0	111,577684402466
6150,0	111,286808490753
6200,0	110,958569765091
6250,0	111,670153141022
6300,0	111,193273067474
6350,0	110,749272108078
6400,0	111,172537326813
6450,0	111,247575283051
6500,0	110,690846443176
6550,0	110,519508361816
6600,0	110,704395055771
6650,0	110,672064304352
6700,0	110,330460786819
6750,0	110,238217115402
6800,0	110,243173122406
6850,0	110,289960622787
6900,0	109,435361146927
6950,0	109,445407152176
7000,0	109,797306776047
7050,0	109,19246506691
7100,0	108,874807953835
7150,0	108,653601408005
7200,0	108,570994496346
7250,0	108,321488976479
7300,0	107,63966012001
7350,0	108,169824838638
7400,0	108,07278573513
7450,0	107,787173807621
7500,0	107,43599063158
7550,0	108,106380343437
7600,0	108,290654659271
7650,0	107,96094429493
7700,0	107,569017767906
7750,0	107,669072628021
7800,0	107,415897607803
7850,0	107,310217171907
7900,0	106,442452609539
7950,0	107,077809460461
8000,0	106,950032100081
8050,0	106,255132496357
8100,0	106,745138525963
8150,0	107,270558416843
8200,0	106,831727162004
8250,0	106,307213962078
8300,0	106,561504602432
8350,0	106,726066201925
8400,0	106,70576825738
8450,0	106,11786711216
8500,0	105,764958381653
8550,0	105,852104902267
8600,0	105,792845487595
8650,0	104,651334524155
8700,0	105,198447227478
8750,0	105,875197410584
8800,0	105,28743314743
8850,0	105,195979714394
8900,0	105,577839136124
8950,0	105,931577324867
9000,0	104,966023445129
9050,0	104,641355514526
9100,0	105,200072407722
9150,0	104,967893838882
9200,0	104,266829252243
9250,0	103,737742185593
9300,0	104,683744430542
9350,0	104,524931192398
9400,0	103,501733064651
9450,0	103,79424905777
9500,0	103,687089681625
9550,0	104,166070699692
9600,0	102,906975269318
9650,0	103,295493364334
9700,0	104,360827922821
9750,0	104,801142454147
9800,0	103,767280101776
9850,0	104,016008853912
9900,0	104,712644338608
9950,0	104,724897861481
10000,0	103,016540527344
10050,0	104,120809793472
10100,0	104,205398321152
10150,0	103,787797689438
10200,0	103,077250480652
10250,0	103,957483768463
10300,0	104,639212846756
10350,0	103,826768398285
10400,0	103,59268116951
10450,0	103,930299520493
10500,0	104,226928949356
10550,0	103,945214748383
10600,0	103,198044300079
