f [MHz]	U [dBuV]
800,0	93,2919769287109
802,0	115,486773490906
804,0	115,595639228821
806,0	115,836184501648
808,0	115,659495353699
810,0	115,236562728882
812,0	115,057053565979
814,0	115,247098922729
816,0	115,259255409241
818,0	115,066032409668
820,0	115,024172782898
822,0	115,189748764038
824,0	115,317080497742
826,0	115,387409210205
828,0	115,553545951843
830,0	115,75061416626
832,0	115,839328765869
834,0	115,969641685486
836,0	116,122703552246
838,0	116,222667694092
840,0	116,394389152527
842,0	116,422720909119
844,0	116,55389881134
846,0	116,607002258301
848,0	116,6139793396
850,0	116,7449426651
852,0	116,99921131134
854,0	117,111142158508
856,0	117,052074432373
858,0	117,074067115784
860,0	117,333294868469
862,0	117,535480499268
864,0	117,539546966553
866,0	117,536270141602
868,0	117,678983688354
870,0	117,825242042542
872,0	117,872250556946
874,0	117,888544082642
876,0	118,013226509094
878,0	118,066188812256
880,0	118,098985671997
882,0	118,090659141541
884,0	118,18971824646
886,0	118,259303092957
888,0	118,226744651794
890,0	118,195127487183
892,0	118,196992874146
894,0	118,292672157288
896,0	118,253705024719
898,0	118,203951835632
900,0	118,292802810669
902,0	118,387775421143
904,0	118,351314544678
906,0	118,304151535034
908,0	118,358817100525
910,0	118,502905845642
912,0	118,49072265625
914,0	118,393942832947
916,0	118,395797729492
918,0	118,545980453491
920,0	118,641557693481
922,0	118,595853805542
924,0	118,515322685242
926,0	118,586023330688
928,0	118,692861557007
930,0	118,692623138428
932,0	118,591987609863
934,0	118,617316246033
936,0	118,698104858398
938,0	118,758497238159
940,0	118,705783843994
942,0	118,687658309937
944,0	118,762189865112
946,0	118,792282104492
948,0	118,699388504028
950,0	118,716038703918
952,0	118,658960342407
954,0	118,809405326843
956,0	118,825770378113
958,0	118,722869873047
960,0	118,683917045593
962,0	118,743001937866
964,0	118,792279243469
966,0	118,805841445923
968,0	118,778284072876
970,0	118,75429058075
972,0	118,785717964172
974,0	118,802342414856
976,0	118,792999267578
978,0	118,788466453552
980,0	118,781123161316
982,0	118,789847373962
984,0	118,807066917419
986,0	118,786279678345
988,0	118,778594017029
990,0	118,839324951172
992,0	118,840352058411
994,0	118,832460403442
996,0	118,741424560547
998,0	118,734829902649
1000,0	118,767426490784
1010,0	118,77157497406
1020,0	118,785760879517
1030,0	118,72888469696
1040,0	118,729426383972
1050,0	118,66720199585
1060,0	118,620761871338
1070,0	118,535780906677
1080,0	118,509540557861
1090,0	118,520099639893
1100,0	118,494336128235
1110,0	118,486232757568
1120,0	118,50067615509
1130,0	118,451760292053
1140,0	118,234473228455
1150,0	118,289620399475
1160,0	118,386070251465
1170,0	118,378073692322
1180,0	118,352876663208
