f [MHz]	U [dBuV]
800,0	93,6710805892944
802,0	115,569616317749
804,0	115,68892288208
806,0	115,928606033325
808,0	115,772442817688
810,0	115,384731292725
812,0	115,212472915649
814,0	115,373547554016
816,0	115,35874080658
818,0	115,143716812134
820,0	115,062231063843
822,0	115,174078941345
824,0	115,249248504639
826,0	115,273659706116
828,0	115,38862323761
830,0	115,540597915649
832,0	115,593886375427
834,0	115,701870918274
836,0	115,83717918396
838,0	115,92156791687
840,0	116,081080436707
842,0	116,109183311462
844,0	116,243650436401
846,0	116,302542686462
848,0	116,313123703003
850,0	116,437150001526
852,0	116,671912193298
854,0	116,772914886475
856,0	116,73290348053
858,0	116,770542144775
860,0	116,999614715576
862,0	117,198199272156
864,0	117,213072776794
866,0	117,202423095703
868,0	117,344447135925
870,0	117,524983406067
872,0	117,573147773743
874,0	117,589372634888
876,0	117,761865615845
878,0	117,839044570923
880,0	117,858183860779
882,0	117,867277145386
884,0	118,000017166138
886,0	118,125022888184
888,0	118,072240829468
890,0	117,998753547668
892,0	118,030786514282
894,0	118,175374984741
896,0	118,136875152588
898,0	118,047903060913
900,0	118,167481422424
902,0	118,310950279236
904,0	118,277661323547
906,0	118,198475837708
908,0	118,320137023926
910,0	118,574149131775
912,0	118,570422172546
914,0	118,398309707642
916,0	118,39783000946
918,0	118,69727230072
920,0	118,882517814636
922,0	118,758624076843
924,0	118,615934371948
926,0	118,768905639648
928,0	118,986842155457
930,0	118,977149009705
932,0	118,800568580627
934,0	118,866859436035
936,0	119,027493476868
938,0	119,111135482788
940,0	118,981261253357
942,0	118,969329833984
944,0	119,103441238403
946,0	119,191011428833
948,0	119,05260181427
950,0	119,012413024902
952,0	119,020540237427
954,0	119,227048873901
956,0	119,279107093811
958,0	119,135468482971
960,0	119,102016448975
962,0	119,193285942078
964,0	119,290609359741
966,0	119,31297492981
968,0	119,271520614624
970,0	119,248064994812
972,0	119,305261611938
974,0	119,34831237793
976,0	119,339870452881
978,0	119,333107948303
980,0	119,322780609131
982,0	119,361443519592
984,0	119,377241134644
986,0	119,366586685181
988,0	119,339994430542
990,0	119,428158760071
992,0	119,424410820007
994,0	119,41201877594
996,0	119,333252906799
998,0	119,310643196106
1000,0	119,365057945251
1010,0	119,347314834595
1020,0	119,357919692993
1030,0	119,303656578064
1040,0	119,312181472778
1050,0	119,249685287476
1060,0	119,127592086792
1070,0	119,126783370972
1080,0	119,117475509644
1090,0	119,125105857849
1100,0	119,105135917664
1110,0	111,428947925568
1120,0	119,108534812927
1130,0	119,042893409729
1140,0	118,842377662659
1150,0	118,887757301331
1160,0	119,0154504776
1170,0	118,997352600098
1180,0	118,977135658264
1190,0	118,964417457581
1200,0	118,966693878174
1210,0	118,957794189453
1220,0	118,932836532593
1230,0	118,911516189575
1240,0	118,932760238647
1250,0	118,897730827332
1260,0	118,86406993866
1270,0	118,831869125366
1280,0	118,798077583313
1290,0	118,825263977051
1300,0	118,826567649841
1310,0	118,806676864624
1320,0	118,803723335266
1330,0	118,817982673645
1340,0	118,819109916687
1350,0	118,832800865173
1360,0	118,840075492859
1370,0	118,810718536377
1380,0	118,872378349304
1390,0	118,883679389954
1400,0	118,835715293884
1410,0	118,841909408569
1420,0	118,763812065125
1430,0	118,763770103455
1440,0	118,751818656921
1450,0	118,734510421753
1460,0	118,685272216797
1470,0	118,661554336548
1480,0	118,753878593445
1490,0	118,626845359802
1500,0	118,633832931519
1510,0	118,583818435669
1520,0	118,606761932373
1530,0	118,561153411865
1540,0	118,605541229248
1550,0	118,629428863525
1560,0	118,59256362915
1570,0	118,595931053162
1580,0	118,563628196716
1590,0	118,498761177063
1600,0	118,473856925964
1610,0	118,462619781494
1620,0	118,391367912292
1630,0	118,366024017334
1640,0	118,392185211182
1650,0	118,413215637207
1660,0	118,371649742126
1670,0	118,350525856018
1680,0	118,364837646484
1690,0	118,314344406128
1700,0	118,339441299438
1710,0	118,370615005493
1720,0	118,410189628601
1730,0	118,334995269775
1740,0	118,308036804199
1750,0	118,294410705566
1760,0	118,340921401978
1770,0	118,330196380615
1780,0	118,309054374695
1790,0	118,321141242981
1800,0	118,322556495667
1810,0	118,320275306702
1820,0	118,236310005188
1830,0	118,260611534119
1840,0	118,248135566711
1850,0	118,228867530823
1860,0	118,243134498596
1870,0	118,234555244446
1880,0	118,179747581482
