f [MHz]	U [dBuV]
800,0	95,9156150817871
802,0	117,075066566467
804,0	117,271308898926
806,0	117,528526306152
808,0	117,412858009338
810,0	117,410868644714
812,0	117,34371471405
814,0	117,481091499329
816,0	117,531335830688
818,0	117,474299430847
820,0	117,465968132019
822,0	117,522624969482
824,0	117,543076515198
826,0	117,540070533752
828,0	117,563074111938
830,0	117,600165367126
832,0	117,586031913757
834,0	117,667440414429
836,0	117,696949005127
838,0	117,68407535553
840,0	117,757905960083
842,0	117,744144439697
844,0	117,814359664917
846,0	117,824074745178
848,0	117,819582939148
850,0	117,872698783875
852,0	117,980290412903
854,0	118,018608093262
856,0	117,986492156982
858,0	117,98867225647
860,0	118,074305534363
862,0	118,174865722656
864,0	118,171608924866
866,0	118,173023223877
868,0	118,195224761963
870,0	118,26836681366
872,0	118,279763221741
874,0	118,257883071899
876,0	118,320043563843
878,0	118,297821044922
880,0	118,329048156738
882,0	118,33403301239
884,0	118,338205337524
886,0	118,350625991821
888,0	118,339723587036
890,0	118,321654319763
892,0	118,287982940674
894,0	118,290822029114
896,0	118,260193824768
898,0	118,249836921692
900,0	118,311237335205
902,0	118,317049980164
904,0	118,280158042908
906,0	118,240503311157
908,0	118,282093048096
910,0	118,356187820435
912,0	118,289943695068
914,0	118,208373069763
916,0	118,217222213745
918,0	118,335796356201
920,0	118,394155502319
922,0	118,326672554016
924,0	118,270690917969
926,0	118,328004837036
928,0	118,401257514954
930,0	118,399802207947
932,0	118,298071861267
934,0	118,33155632019
936,0	118,388974189758
938,0	118,438431739807
940,0	118,39550113678
942,0	118,408110618591
944,0	118,477739334106
946,0	118,504517555237
948,0	118,407341957092
950,0	118,43588924408
952,0	118,464653968811
954,0	118,518671035767
956,0	118,517683982849
958,0	118,407256126404
960,0	118,379372596741
962,0	118,427841186523
964,0	118,453597068787
966,0	118,458320617676
968,0	118,413482666016
970,0	118,390675544739
972,0	118,424256324768
974,0	118,436331748962
976,0	118,413582801819
978,0	118,409391403198
980,0	118,389838218689
982,0	118,404829025269
984,0	118,412201881409
986,0	118,399292945862
988,0	118,373270988464
990,0	118,446464538574
992,0	118,436972618103
994,0	118,418541908264
996,0	118,33837890625
998,0	118,349991798401
1000,0	118,361872673035
1010,0	118,33864402771
1020,0	118,342368125916
1030,0	118,296627998352
1040,0	118,324288368225
1050,0	118,268329620361
1060,0	118,231064796448
1070,0	118,175916671753
1080,0	118,171439170837
1090,0	118,170636177063
1100,0	118,163097381592
1110,0	118,129632949829
1120,0	118,152424812317
1130,0	118,106177330017
1140,0	117,870994567871
1150,0	117,898536682129
1160,0	117,995825767517
1170,0	117,987341880798
1180,0	117,965353965759
1190,0	117,975071907043
1200,0	117,984349250793
1210,0	117,972124099731
1220,0	117,965520858765
1230,0	117,96706867218
1240,0	117,94846534729
1250,0	117,954909324646
1260,0	117,913336753845
1270,0	117,870740890503
1280,0	117,884383201599
1290,0	117,945475578308
1300,0	117,948446273804
1310,0	117,949707984924
1320,0	117,934986114502
1330,0	117,887278556824
1340,0	117,888544082642
1350,0	117,864319801331
1360,0	117,854771614075
1370,0	117,772181510925
