f [MHz]	U [dBuV]
800,0	94,2377862930298
802,0	118,15502166748
804,0	118,270952224731
806,0	118,369663238525
808,0	118,375392913818
810,0	118,361165046692
812,0	118,240810394287
814,0	118,269060134888
816,0	118,28936290741
818,0	118,290651321411
820,0	118,304176330566
822,0	118,274302482605
824,0	118,277558326721
826,0	118,282290458679
828,0	118,269424438477
830,0	118,263305664063
832,0	118,263246536255
834,0	118,357300758362
836,0	118,339183807373
838,0	118,273478507996
840,0	118,327218055725
842,0	118,305088043213
844,0	118,311015129089
846,0	118,302852630615
848,0	118,303462028503
850,0	118,306356430054
852,0	118,374095916748
854,0	118,379803657532
856,0	118,35147190094
858,0	118,321767807007
860,0	118,369665145874
862,0	118,438549041748
864,0	118,449116706848
866,0	118,437466621399
868,0	118,438806533813
870,0	118,472197532654
872,0	118,498705863953
874,0	118,467784881592
876,0	118,502155303955
878,0	118,461581230164
880,0	118,519899368286
882,0	118,489553451538
884,0	118,486861228943
886,0	118,463258743286
888,0	118,492799758911
890,0	118,504414558411
892,0	118,448674201965
894,0	118,430488586426
896,0	118,4164686203
898,0	118,450086593628
900,0	118,485918045044
902,0	118,471849441528
904,0	118,434016227722
906,0	118,455720901489
908,0	118,463457107544
910,0	118,482816696167
912,0	118,422648429871
914,0	118,381016731262
916,0	118,417310714722
918,0	118,461048126221
920,0	118,510200500488
922,0	118,474027633667
924,0	118,455053329468
926,0	118,464009284973
928,0	118,498802185059
930,0	118,487030029297
932,0	118,43520450592
934,0	118,440125465393
936,0	118,463806152344
938,0	118,498366355896
940,0	118,477135658264
942,0	118,467671394348
944,0	118,526476860046
946,0	118,518498420715
948,0	118,444505691528
950,0	118,459561347961
952,0	118,407338142395
954,0	118,5329246521
956,0	118,521705627441
958,0	118,412752151489
960,0	118,374128341675
962,0	118,42699432373
964,0	118,45951461792
966,0	118,45446395874
968,0	118,419221878052
970,0	118,386744499207
972,0	118,429960250854
974,0	118,423904418945
976,0	118,413034439087
978,0	118,392606735229
980,0	118,390707969666
982,0	118,398161888123
984,0	118,404662132263
986,0	118,387805938721
988,0	118,371767997742
990,0	118,430720329285
992,0	118,435343742371
994,0	118,406390190125
996,0	118,337598800659
998,0	118,331066131592
1000,0	118,36129283905
1010,0	118,32932472229
1020,0	118,344837188721
1030,0	118,303415298462
1040,0	118,309422492981
1050,0	118,278586387634
1060,0	118,230906486511
1070,0	118,180280685425
1080,0	118,159937858582
1090,0	118,164957046509
1100,0	118,144112586975
1110,0	118,119002342224
1120,0	118,128659248352
1130,0	118,088202476501
1140,0	117,839845657349
1150,0	117,873759269714
1160,0	117,98212146759
1170,0	117,96172618866
1180,0	117,922030448914
1190,0	117,944844245911
1200,0	117,958228111267
1210,0	117,945519447327
1220,0	117,937599182129
1230,0	117,936737060547
1240,0	117,921589851379
1250,0	117,91697883606
1260,0	117,886776924133
1270,0	117,845036506653
1280,0	117,859389305115
1290,0	117,918105125427
1300,0	117,916068077087
1310,0	117,922342300415
1320,0	117,899271965027
1330,0	117,893441200256
1340,0	117,863809585571
1350,0	117,856077194214
1360,0	117,84149646759
1370,0	117,767182350159
1380,0	117,818851470947
1390,0	117,82648563385
1400,0	117,797714233398
1410,0	117,823183059692
1420,0	118,148000717163
1430,0	117,785696983337
1440,0	117,764771461487
1450,0	117,747926712036
1460,0	117,686399459839
1470,0	117,692956924438
1480,0	117,80140209198
1490,0	117,669612884521
1500,0	117,668807983398
1510,0	117,665871620178
1520,0	117,697534561157
1530,0	117,647162437439
1540,0	117,687937736511
1550,0	117,672859191895
1560,0	117,588088989258
1570,0	117,556288719177
1580,0	117,568899154663
1590,0	117,513588905334
1600,0	117,47594165802
1610,0	117,519519805908
1620,0	117,500188827515
1630,0	117,462507247925
1640,0	117,461679458618
1650,0	117,464960098267
1660,0	117,404299736023
1670,0	117,371782302856
1680,0	117,397825241089
1690,0	117,312213897705
1700,0	117,302117347717
1710,0	117,333840370178
1720,0	117,401700019836
1730,0	117,314959526062
1740,0	117,289568901062
1750,0	117,266254425049
1760,0	117,293895721436
1770,0	117,30931854248
1780,0	117,307600021362
1790,0	117,276149749756
1800,0	117,294522285461
1810,0	117,242963790894
1820,0	117,137668609619
1830,0	117,162352561951
1840,0	117,140309333801
1850,0	117,117655754089
1860,0	117,150324821472
1870,0	117,17297744751
1880,0	117,131533622742
1890,0	117,137579917908
1900,0	117,166085243225
1910,0	117,140172958374
1920,0	117,129503250122
1930,0	117,018104553223
1940,0	116,848952293396
1950,0	116,765641212463
1960,0	116,894361495972
1970,0	116,93369102478
1980,0	116,838491439819
1990,0	116,86023235321
2000,0	116,873808860779
2010,0	116,829025268555
2020,0	116,926959991455
2030,0	116,912784576416
2040,0	116,900658607483
2050,0	116,860001564026
2060,0	116,815716743469
2070,0	116,807615280151
2080,0	116,755528450012
2090,0	116,765331268311
2100,0	116,702665328979
2110,0	116,656598091125
2120,0	116,610456466675
2130,0	116,576899528503
2140,0	116,565138816834
2150,0	116,509575843811
2160,0	116,554263114929
2170,0	116,58878993988
2180,0	116,490753173828
2190,0	116,573546409607
2200,0	116,591611862183
2210,0	116,557027816772
2220,0	116,625053405762
2230,0	116,631875038147
2240,0	116,620090484619
2250,0	116,585067749023
2260,0	116,572895050049
2270,0	116,586671829224
2280,0	116,41565322876
2290,0	116,381507873535
2300,0	116,248889923096
2310,0	116,23773765564
2320,0	116,218826293945
2330,0	116,241272926331
2340,0	116,312679290771
2350,0	116,326411247253
2360,0	116,22785282135
2370,0	116,233233451843
2380,0	116,263397216797
2390,0	116,272717475891
2400,0	116,289711952209
2410,0	116,295006752014
2420,0	116,366081237793
2430,0	116,283520698547
2440,0	116,32019329071
2450,0	116,295734405518
2460,0	116,315622329712
2470,0	116,289179801941
2480,0	116,279947280884
2490,0	116,298327445984
2500,0	116,256259918213
2510,0	116,271415710449
2520,0	116,156887054443
2530,0	116,011468887329
2540,0	116,032355308533
2550,0	116,034287452698
2560,0	115,991688728333
2570,0	116,037830352783
2580,0	115,94780921936
