f [MHz]	U [dBuV]
800,0	91,9553155899048
802,0	117,039349555969
804,0	117,178086280823
806,0	117,301419258118
808,0	117,273464202881
810,0	117,162596702576
812,0	117,039844512939
814,0	117,075203895569
816,0	117,074511528015
818,0	117,041670799255
820,0	117,032341957092
822,0	117,031894683838
824,0	117,042984962463
826,0	117,054420471191
828,0	117,078277587891
830,0	117,106519699097
832,0	117,134501457214
834,0	117,261770248413
836,0	117,32014465332
838,0	117,305891990662
840,0	117,435612678528
842,0	117,476017951965
844,0	117,602731704712
846,0	117,663210868835
848,0	117,725383758545
850,0	117,82399559021
852,0	117,994749069214
854,0	118,109127044678
856,0	118,130181312561
858,0	118,119337081909
860,0	118,221837997437
862,0	118,362692832947
864,0	118,41868686676
866,0	118,390105247498
868,0	118,396339416504
870,0	118,478507995605
872,0	118,534440040588
874,0	118,51446723938
876,0	118,573271751404
878,0	118,602983474731
880,0	118,683544158936
882,0	118,673040390015
884,0	118,703065872192
886,0	118,765600204468
888,0	118,819394111633
890,0	118,815140724182
892,0	118,762138366699
894,0	118,802031517029
896,0	118,843043327332
898,0	118,843500137329
900,0	118,896171569824
902,0	118,931490898132
904,0	118,931507110596
906,0	118,934450149536
908,0	118,967635154724
910,0	119,059350013733
912,0	119,096013069153
914,0	119,036826133728
916,0	119,034029960632
918,0	119,154816627502
920,0	119,262309074402
922,0	119,277789115906
924,0	119,206421852112
926,0	119,243781089783
928,0	119,315728187561
930,0	119,362782478333
932,0	119,280137062073
934,0	119,292857170105
936,0	119,338668823242
938,0	119,401272773743
940,0	119,397236824036
942,0	119,36515712738
944,0	119,423034667969
946,0	119,44237613678
948,0	119,37363910675
950,0	119,386140823364
952,0	119,315749168396
954,0	119,425312042236
956,0	119,469575881958
958,0	119,376550674438
960,0	119,327669143677
962,0	119,347739219666
964,0	119,388843536377
966,0	119,414168357849
968,0	119,392087936401
970,0	119,348838806152
972,0	119,382146835327
974,0	119,390524864197
976,0	119,404062271118
978,0	119,390988349915
980,0	119,374885559082
982,0	119,384567260742
984,0	119,408639907837
986,0	119,39954662323
988,0	119,371144294739
990,0	119,448092460632
992,0	119,447373390198
994,0	119,439591407776
996,0	119,350606918335
998,0	119,331645965576
1000,0	119,381658554077
1010,0	119,367202758789
1020,0	119,384744644165
1030,0	119,331848144531
1040,0	119,340932846069
1050,0	119,297401428223
1060,0	119,244192123413
1070,0	119,177453994751
1080,0	119,156299591064
1090,0	119,174482345581
1100,0	119,149010658264
1110,0	119,127728462219
1120,0	119,150429725647
1130,0	119,088019371033
1140,0	118,886194229126
1150,0	118,935422897339
1160,0	119,070022583008
1170,0	119,06680393219
1180,0	119,043676376343
1190,0	119,044533729553
1200,0	119,038336753845
1210,0	119,039907455444
1220,0	118,994823455811
1230,0	118,984758377075
1240,0	118,987086296082
1250,0	118,9630651474
1260,0	118,921273231506
1270,0	118,891045570374
1280,0	118,860614776611
1290,0	118,884525299072
1300,0	118,884516716003
1310,0	118,860848426819
1320,0	118,859214782715
1330,0	118,864659309387
1340,0	118,840342521667
1350,0	118,853001594543
1360,0	118,865097999573
1370,0	118,827646255493
1380,0	118,895915031433
1390,0	118,900065422058
1400,0	118,870209693909
1410,0	118,872884750366
1420,0	118,848391532898
1430,0	118,790260314941
1440,0	118,768301963806
1450,0	118,745827674866
1460,0	118,677728652954
1470,0	118,653026580811
1480,0	118,748118400574
1490,0	118,59460735321
1500,0	118,602877616882
1510,0	118,520468711853
1520,0	118,515186309814
1530,0	118,487111091614
1540,0	118,54443359375
1550,0	118,548279762268
1560,0	118,49279499054
1570,0	116,647783279419
1580,0	118,455773353577
1590,0	118,400404930115
1600,0	118,358703613281
1610,0	118,354432106018
1620,0	118,229356765747
1630,0	118,174369812012
1640,0	118,225044250488
1650,0	118,252512931824
1660,0	118,221044540405
1670,0	118,210217475891
1680,0	118,267107009888
1690,0	118,22572517395
1700,0	118,23068523407
1710,0	118,246978759766
1720,0	118,261551856995
1730,0	118,169514656067
1740,0	118,131776809692
1750,0	118,106151580811
1760,0	118,128503799438
1770,0	118,104768753052
1780,0	118,098672866821
1790,0	118,142848014832
1800,0	118,181615829468
1810,0	118,149189949036
1820,0	118,07829284668
1830,0	118,114454269409
1840,0	118,115626335144
1850,0	118,103675842285
1860,0	118,144574165344
1870,0	118,170920372009
1880,0	118,112005233765
1890,0	118,155838012695
1900,0	118,143841743469
1910,0	118,096973419189
1920,0	118,086538314819
1930,0	117,95245552063
1940,0	117,766186714172
1950,0	117,616222381592
1960,0	117,729114532471
1970,0	117,719874382019
1980,0	117,557559013367
1990,0	117,5567445755
2000,0	117,50306892395
2010,0	117,381428718567
2020,0	117,414601325989
2030,0	117,380521774292
2040,0	117,346957206726
2050,0	117,364315032959
2060,0	117,338355064392
2070,0	117,332647323608
2080,0	117,286151885986
2090,0	117,347144126892
2100,0	117,28125667572
2110,0	117,265242576599
2120,0	117,2436876297
2130,0	117,227643013
2140,0	117,238698959351
2150,0	117,229426383972
2160,0	117,275736808777
2170,0	117,307332992554
2180,0	117,214617729187
2190,0	117,288112640381
2200,0	117,319467544556
2210,0	117,261682510376
2220,0	117,305283546448
2230,0	117,364367485046
2240,0	117,375821113586
2250,0	117,3634557724
2260,0	117,367930412292
2270,0	117,3015832901
2280,0	117,176866531372
2290,0	117,132209777832
2300,0	117,002764701843
2310,0	117,039505004883
2320,0	117,041847229004
2330,0	117,08757019043
2340,0	117,127319335938
2350,0	117,142735481262
2360,0	117,014936447144
2370,0	116,970593452454
2380,0	117,009469032288
2390,0	116,985432624817
2400,0	116,960020065308
2410,0	116,930067062378
2420,0	116,938115119934
2430,0	116,808130264282
2440,0	116,824118614197
2450,0	116,753931999207
2460,0	116,797255516052
2470,0	116,809778213501
2480,0	116,8177318573
2490,0	116,813309669495
2500,0	116,76807975769
2510,0	116,802620887756
2520,0	116,681071281433
2530,0	116,557465553284
2540,0	116,60050868988
2550,0	116,611869812012
2560,0	116,583875656128
2570,0	116,725656509399
2580,0	116,659973144531
2590,0	116,637991905212
2600,0	116,636768341064
2610,0	116,554309844971
2620,0	116,511303901672
2630,0	116,435178756714
2640,0	116,468598365784
2650,0	116,531672477722
2660,0	116,522482872009
2670,0	116,465020179749
2680,0	116,428161621094
2690,0	116,42520236969
2700,0	116,431412696838
2710,0	116,466542243958
2720,0	116,420007705688
2730,0	116,306512832642
2740,0	116,370581626892
2750,0	116,300423622131
2760,0	116,299565315247
2770,0	116,247595787048
2780,0	116,135751724243
2790,0	116,166312217712
2800,0	116,22555065155
2810,0	116,201786994934
2820,0	116,183571815491
2830,0	116,197881698608
2840,0	116,21879863739
2850,0	116,140110015869
2860,0	116,112524032593
2870,0	116,16038608551
2880,0	116,095430374146
2890,0	116,07243347168
2900,0	116,155922889709
2910,0	116,150409698486
2920,0	116,174028396606
2930,0	116,166122436523
2940,0	116,018718719482
2950,0	115,87561416626
2960,0	115,816078186035
2970,0	115,827319145203
2980,0	115,734323501587
2990,0	115,631683349609
3000,0	115,531028747559
3050,0	115,467003822327
3100,0	115,272314071655
3150,0	114,618772029877
3200,0	114,558022975922
3250,0	114,044998168945
3300,0	114,508846759796
3350,0	113,918617725372
3400,0	114,346367359161
3450,0	113,936752319336
3500,0	114,078307628632
3550,0	113,788496494293
3600,0	114,456350326538
3650,0	114,154715538025
3700,0	113,308074474335
3750,0	112,84864616394
3800,0	113,397778511047
3850,0	113,142536640167
3900,0	112,520642280579
3950,0	112,19393157959
4000,0	112,409059524536
4050,0	112,175450325012
4100,0	112,27750825882
4150,0	112,302947998047
4200,0	112,541644573212
4250,0	112,613884449005
4300,0	112,572243213654
4350,0	113,019727706909
4400,0	113,375348091125
4450,0	113,521789073944
4500,0	113,542520046234
