f [Hz];U [dBuV]
1e-05;64,924305
2e-05;65,563911
3e-05;65,008739
4e-05;65,116764
5e-05;65,149025
6e-05;65,153599
7e-05;65,109261
8e-05;65,074223
9e-05;65,036297
0,0001;65,635460
0,0002;65,077084
0,0003;65,029499
0,0004;65,010883
0,0005;65,004292
0,0006;65,024864
0,0007;64,998245
0,0008;64,992561
0,0009;64,996063
0,001;65,053127
0,002;65,002979
0,003;64,985630
0,004;64,979713
0,005;64,973278
0,006;64,966560
0,007;64,963455
0,008;64,962166
0,009;65,002193
0,01;64,998093
0,02;64,960533
0,03;64,965488
0,04;64,971073
0,05;64,976883
0,06;65,003265
0,07;64,977985
0,08;64,969036
0,09;64,955875
0,1;64,986832
0,2;64,943153
0,3;64,903908
0,4;64,996212
0,5;64,932629
0,6;64,882244
0,7;64,873341
0,8;64,870998
0,9;64,880253
1,0;64,896404
2,0;64,862515
3,0;64,959450
4,0;64,963970
5,0;64,949516
6,0;64,967720
7,0;64,954872
8,0;64,845356
9,0;64,834862
10,0;64,907257
20,0;64,823307
30,0;64,373707
40,0;64,388260
50,0;64,235218
