f [Hz];U [dB]
10,0;64,90745807875462
20,0;70,70949234489508
30,0;74,07609576218002
40,0;76,41509905254657
50,0;78,12969730439092
60,0;79,4758688775548
70,0;80,55673351548434
80,0;81,42898065268656
90,0;82,14935431273412
100,0;82,75270729247026
200,0;85,54971005202498
300,0;86,30951052457178
400,0;86,57267972277694
500,0;86,66069186074594
600,0;86,67690308845037
700,0;86,65952384084892
800,0;86,62475510481309
900,0;86,58271598064562
1000,0;86,54117438511062
2000,0;86,23601941132395
3000,0;86,12189440628454
4000,0;86,08059655562849
5000,0;86,06918454286203
6000,0;86,06623133732774
7000,0;86,06707342895034
8000,0;86,07254558488637
9000,0;86,0816752470351
10000,0;86,09392454309042
