f [Hz];U [V]
10,0;0,33552372613636255
20,0;0,34032848843025393
30,0;0,3356781752279364
40,0;0,3295408334353464
50,0;0,32214600122736553
60,0;0,31365372798127455
70,0;0,3045735039319084
80,0;0,29493597508716357
90,0;0,2850375549528593
100,0;0,27505631818949977
200,0;0,19060159905953972
300,0;0,13950914518803761
400,0;0,10858144009192355
500,0;0,08842085334704959
600,0;0,07439657913013496
700,0;0,0641128533994923
800,0;0,056270731463262315
900,0;0,05008810513819155
1000,0;0,04510796480621677
2000,0;0,0222307319322015
3000,0;0,014301221214469082
4000,0;0,010167783637904649
5000,0;0,007585474560149847
6000,0;0,005746088607977982
7000,0;0,004369949889060387
8000,0;0,003261591829355626
9000,0;0,0023509678371496667
10000,0;0,001593186271116802
