f [Hz];U [dB]
10,0;146,11855747437906
20,0;146,01655156128678
30,0;146,0162239680765
40,0;146,01586707454138
50,0;146,0166447269521
60,0;146,01611966312828
70,0;146,0158705895945
80,0;146,0161958487558
90,0;146,0159432623844
100,0;146,0157557228218
200,0;146,0158811347453
300,0;146,01610852834438
400,0;146,01610501338754
500,0;146,0164068151801
600,0;146,01609445621847
700,0;146,01560393313434
800,0;146,01565257986715
900,0;146,01562620398167
1000,0;146,01542459665293
2000,0;146,01387192946623
3000,0;146,01222985472577
4000,0;146,01147408842695
5000,0;146,0103224217351
6000,0;146,00755756967826
7000,0;146,00298372604018
8000,0;145,99839572398386
9000,0;145,99749015651486
10000,0;145,99832407417725
