f [Hz];U [dB]
10,0;146,0012339379913
20,0;146,01559807043495
30,0;146,01497095998025
40,0;146,01535075186618
50,0;146,01426875788187
60,0;146,01516730483453
70,0;146,0147189280031
80,0;146,01467495932656
90,0;146,01502370335913
100,0;146,01531148162152
200,0;146,0151661248612
300,0;146,0152798317646
400,0;146,01521242640342
500,0;146,01513154911265
600,0;146,0148156288075
700,0;146,0149469297399
800,0;146,0147282945194
900,0;146,01497388539627
1000,0;146,01435376120844
2000,0;146,0127967961298
3000,0;146,01124658576282
4000,0;146,0106326394531
5000,0;146,00943570982705
6000,0;146,00639482688035
7000,0;146,0018555904273
8000,0;145,99744082907836
9000,0;145,99647055503274
10000,0;145,99721706005084
