f [Hz];U [dB]
10,0;64,96690808313348
20,0;70,70173088006572
30,0;74,0815946028224
40,0;76,4096940434305
50,0;78,11892488708853
60,0;79,47512517575737
70,0;80,5460169250974
80,0;81,41931234089569
90,0;82,14447412208528
100,0;82,74524284550719
200,0;85,54007176011994
300,0;86,30241498732778
400,0;86,56579334124035
500,0;86,65595183084511
600,0;86,67040832181
700,0;86,6524937807671
800,0;86,62105721697195
900,0;86,57731517937773
1000,0;86,53314738364483
2000,0;86,22712379942966
3000,0;86,11656130134097
4000,0;86,07798589960333
5000,0;86,06416729453122
6000,0;86,0599665815607
7000,0;86,06026380626368
8000,0;86,0671638916986
9000,0;86,07754834446978
10000,0;86,08963264180716
