f [Hz];U [dBuV]
0,009;81,135098
0,01;82,923998
0,02;77,736475
0,03;76,661266
0,04;76,850370
0,05;76,453276
0,06;79,434855
0,07;76,909845
0,08;76,350285
0,09;76,263075
0,1;79,256962
0,11;78,879663
0,12;79,255669
0,13;79,553055
0,14;78,075602
0,15;77,194881
0,2;79,025818
0,3;77,347694
0,4;76,517326
0,5;76,354078
0,6;76,306496
0,7;76,318701
0,8;76,302443
0,9;76,309305
1,0;76,329735
2,0;76,176796
3,0;75,971519
4,0;75,786053
5,0;75,619219
6,0;75,659138
7,0;75,674416
8,0;75,666647
9,0;75,838717
10,0;76,169180
11,0;76,502876
12,0;76,828060
13,0;77,179022
14,0;77,467031
15,0;77,541975
16,0;77,483704
17,0;77,217375
18,0;76,765417
19,0;76,284702
20,0;75,792013
21,0;75,368782
22,0;75,019238
23,0;74,810925
24,0;74,684261
25,0;74,684322
26,0;74,883034
27,0;75,168964
28,0;75,470863
29,0;75,761389
30,0;75,943104
