f [Hz];U [dBuV]
0,009;90,762896
0,01;90,810873
0,02;89,602932
0,03;89,303379
0,04;89,311766
0,05;89,255352
0,06;89,800407
0,07;89,239521
0,08;89,050764
0,09;88,941326
0,1;89,614048
0,11;89,371263
0,12;89,338146
0,13;89,082371
0,14;88,823866
0,15;88,251062
0,2;88,593245
0,3;86,446259
0,4;84,786295
0,5;83,549219
0,6;82,532269
0,7;81,758080
0,8;81,118536
0,9;80,676716
1,0;80,388742
2,0;85,703688
3,0;79,323402
4,0;70,847885
5,0;67,425209
6,0;66,997265
7,0;59,392956
8,0;61,218983
9,0;62,588993
10,0;64,296230
11,0;66,468609
12,0;69,223507
13,0;72,769039
14,0;76,889418
15,0;76,997869
16,0;71,812607
17,0;67,188381
18,0;63,458908
19,0;60,479481
20,0;58,271740
21,0;57,676617
22,0;56,582241
23,0;55,805698
24,0;55,953129
25,0;55,916801
26,0;56,886459
27,0;60,956593
28,0;63,437618
29,0;65,550732
30,0;69,328728
