f [Hz];U [dBuV]
0,009;91,482077
0,01;91,281057
0,02;89,793159
0,03;89,582703
0,04;89,570448
0,05;89,571165
0,06;90,476530
0,07;89,726379
0,08;89,554136
0,09;89,543064
0,1;90,526655
0,11;90,279099
0,12;90,326706
0,13;90,139034
0,14;90,014736
0,15;89,342327
0,2;90,398277
0,3;89,756931
0,4;89,684729
0,5;89,607183
0,6;89,560585
0,7;89,543255
0,8;89,544628
0,9;89,572964
1,0;89,583979
2,0;89,440304
3,0;89,383471
4,0;88,923496
5,0;88,120903
6,0;86,937811
7,0;86,056870
8,0;85,084715
9,0;84,155624
10,0;84,073639
11,0;84,046234
12,0;84,179371
13,0;84,561310
14,0;85,015194
15,0;85,006521
16,0;83,652491
17,0;83,527925
18,0;82,694595
19,0;81,377972
20,0;79,972141
21,0;79,146698
22,0;78,355984
23,0;77,692009
24,0;77,404293
25,0;77,083361
26,0;77,104971
27,0;78,086515
28,0;79,628172
29,0;79,683767
30,0;80,161253
