f [Hz];U [dBuV]
0,009;70,701416
0,01;71,535534
0,02;76,454943
0,03;78,683208
0,04;79,864918
0,05;80,558084
0,06;80,995295
0,07;81,284950
0,08;81,480364
0,09;81,612705
0,1;81,703396
0,11;81,790718
0,12;81,853737
0,13;81,894302
0,14;81,909723
0,15;81,272757
0,2;81,993958
0,3;81,982080
0,4;82,117832
0,5;82,069443
0,6;82,004311
0,7;81,959898
0,8;81,934368
0,9;81,917688
1,0;81,905621
2,0;81,803835
3,0;81,665649
4,0;81,029081
5,0;79,854527
6,0;78,768118
7,0;77,379253
8,0;75,899956
9,0;74,896439
10,0;74,707829
11,0;73,983715
12,0;73,342182
13,0;72,770527
14,0;71,955269
15,0;70,082195
16,0;69,342537
17,0;70,149734
18,0;67,220444
19,0;62,643284
20,0;60,730118
21,0;64,449978
22,0;57,424778
23,0;48,473274
24,0;45,812031
25,0;54,139343
26,0;59,055084
27,0;62,622776
28,0;65,624939
29,0;68,414303
30,0;70,730022
