f [Hz];U [dBuV]
0,009;69,725914
0,01;70,417431
0,02;73,591766
0,03;73,932068
0,04;73,384037
0,05;72,552685
0,06;71,653763
0,07;70,764141
0,08;69,907383
0,09;69,090065
0,1;68,337204
0,11;67,631233
0,12;66,981331
0,13;66,331982
0,14;65,712345
0,15;64,490448
0,2;62,679676
0,3;58,913979
0,4;56,101459
0,5;53,487190
0,6;50,968296
0,7;48,403252
0,8;45,655064
0,9;42,337906
1,0;37,945381
2,0;48,874908
3,0;54,700508
4,0;57,962646
5,0;60,846390
6,0;63,888954
7,0;65,111061
8,0;55,640919
9,0;59,654594
10,0;62,740364
11,0;65,018669
12,0;66,842491
13,0;68,320148
14,0;69,395576
15,0;70,000908
16,0;70,431427
17,0;70,162350
18,0;69,984684
19,0;64,466930
20,0;64,584858
21,0;65,104290
22,0;66,421738
23,0;67,406067
24,0;68,335136
25,0;69,403191
26,0;70,710144
27,0;72,147793
28,0;73,631973
29,0;75,117678
30,0;76,157715
