f [Hz];U [dBuV]
0,009;64,713451
0,01;65,541470
0,02;70,442204
0,03;72,671936
0,04;73,853748
0,05;74,548840
0,06;74,986114
0,07;75,276239
0,08;75,473839
0,09;75,606812
0,1;75,704638
0,11;75,790382
0,12;75,854988
0,13;75,895645
0,14;75,909752
0,15;75,265213
0,2;76,001467
0,3;75,993044
0,4;76,134710
0,5;76,091845
0,6;76,032591
0,7;75,991997
0,8;75,970236
0,9;75,961096
1,0;75,958744
2,0;75,886200
3,0;75,996628
4,0;75,973259
5,0;75,908436
6,0;75,846107
7,0;75,776550
8,0;75,652124
9,0;75,672358
10,0;75,783607
11,0;75,805830
12,0;75,765358
13,0;75,754776
14,0;75,787222
15,0;75,774504
16,0;75,836784
17,0;75,876343
18,0;75,883675
19,0;75,920105
20,0;75,935120
21,0;75,934652
22,0;75,934736
23,0;75,898357
24,0;75,827620
25,0;75,768034
26,0;75,796089
27,0;75,825121
28,0;75,805241
29,0;75,823841
30,0;75,710381
