f [Hz];U [dBuV]
0,009;109,946013
0,01;109,947135
0,02;109,924410
0,03;109,925106
0,04;109,926814
0,05;109,930240
0,06;109,933323
0,07;109,932198
0,08;109,925562
0,09;109,912530
0,1;109,895991
0,11;109,909766
0,12;109,923605
0,13;109,932762
0,14;109,930454
0,15;109,340080
0,2;109,915267
0,3;109,842160
0,4;109,928683
0,5;109,850641
0,6;109,794456
0,7;109,771042
0,8;109,767604
0,9;109,773216
1,0;109,781474
2,0;109,705255
3,0;109,775353
4,0;109,742762
5,0;109,711865
6,0;109,708803
7,0;109,678743
8,0;109,544322
9,0;109,516264
10,0;109,577461
11,0;109,606946
12,0;109,558791
13,0;109,531825
14,0;109,531831
15,0;109,476105
16,0;109,496585
17,0;109,499436
18,0;109,455769
19,0;109,462359
20,0;109,460854
21,0;109,469536
22,0;109,461560
23,0;109,468834
24,0;109,440179
25,0;109,414404
26,0;109,450720
27,0;109,468701
28,0;109,408500
29,0;109,364019
30,0;109,289156
