f [MHz];U [DBM
]
0,1;104,057712
0,11;104,237314
0,12;104,290848
0,13;104,305397
0,14;104,235960
0,15;103,475739
0,2;104,267955
0,3;104,039525
0,4;104,171035
0,5;104,151652
0,6;104,072743
0,7;104,050482
0,8;104,061885
0,9;104,106948
1,0;104,032127
2,0;104,035822
3,0;103,933316
4,0;103,948221
5,0;103,969401
6,0;103,893206
7,0;103,858948
8,0;103,859447
9,0;103,883013
10,0;103,952286
11,0;103,956009
12,0;103,966054
13,0;103,971957
14,0;103,965866
15,0;103,937335
16,0;103,962765
17,0;103,978485
18,0;103,965858
19,0;103,931748
20,0;103,871759
21,0;103,837240
22,0;103,796456
23,0;103,771467
24,0;103,773545
25,0;103,787393
26,0;103,763153
27,0;103,738424
28,0;103,719215
29,0;103,704833
30,0;103,874864
