# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;db:Mem2[Trc1]_S21;ang:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;ang:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;ang:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;ang:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;ang:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;ang:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;ang:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;ang:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;ang:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;ang:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;ang:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;ang:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;ang:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;ang:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;ang:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;ang:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;ang:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;ang:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;ang:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;ang:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;ang:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;ang:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;ang:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;ang:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;ang:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;ang:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;ang:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;ang:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;ang:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;ang:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;ang:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;ang:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;ang:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;ang:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;ang:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;ang:Mem37[Trc1]_S21;
2,000000000000000E+07;-3,471411687409176E+01;-8,594904883871975E+01;-2,105247087456519E+01;-1,326704042690903E+02;-1,975694761486034E+01;-1,327453804162804E+02;-1,840709753275131E+01;-1,329965223810918E+02;-1,720090123792875E+01;-1,334005472276156E+02;-1,605762257035658E+01;-1,334890798292174E+02;-1,498463098615825E+01;-1,338315744865345E+02;-1,403532212038724E+01;-1,338538207378286E+02;-1,328320919493854E+01;-1,340478041119378E+02;-1,267164937896696E+01;-1,340340868602754E+02;-1,222500835041940E+01;-1,341231386857962E+02;-1,198830223921892E+01;-1,340900167599223E+02;-1,201783379522119E+01;-1,340247011121307E+02;-1,216363394674056E+01;-1,338619299794603E+02;-1,250218460903040E+01;-1,336332023515266E+02;-1,305554928358635E+01;-1,332474159321081E+02;-1,379451865768249E+01;-1,324673907004687E+02;-1,460878416762901E+01;-1,318955007821112E+02;-1,554736357419797E+01;-1,316679947980818E+02;-1,661833453606064E+01;-1,307939546724657E+02;-1,766758160498904E+01;-1,299607930936059E+02;-1,882483652296280E+01;-1,298324167599662E+02;-1,989755685613949E+01;-1,321307232474315E+02;-2,117328294741688E+01;-1,310149710912583E+02;-2,260611931448175E+01;-1,289157049777990E+02;-2,395315086447947E+01;-1,270244364647038E+02;-2,507779049026947E+01;-1,247984631239101E+02;-2,641437600561915E+01;-1,224529565926269E+02;-2,758396786509035E+01;-1,194525069460603E+02;-2,870416291702569E+01;-1,173027939751095E+02;-2,985202629887458E+01;-1,138946540136994E+02;-3,066079009918829E+01;-1,120145644572278E+02;-3,154442561695642E+01;-1,077603048132586E+02;-3,260979102140355E+01;-1,029074683458742E+02;-3,398410862905953E+01;-9,294988324167731E+01;-3,432846644990011E+01;-8,769707123649667E+01;-3,468451140718373E+01;-8,690085411077156E+01;
2,100000000000000E+07;-3,353991626380923E+01;-8,343775435796726E+01;-2,047194526428920E+01;-1,390288875050110E+02;-1,917030849498180E+01;-1,394448635493288E+02;-1,776845264283982E+01;-1,397880807771887E+02;-1,655642281112831E+01;-1,403763833015547E+02;-1,538684309455847E+01;-1,408532703747287E+02;-1,430391661237819E+01;-1,411079157195166E+02;-1,332797758808177E+01;-1,412950790557505E+02;-1,257992412161421E+01;-1,412101983355643E+02;-1,197299973771989E+01;-1,412533369413419E+02;-1,150959352471985E+01;-1,412379724761615E+02;-1,128423856843863E+01;-1,412066438003636E+02;-1,130668032673054E+01;-1,408409073242562E+02;-1,145775196500727E+01;-1,405173592001394E+02;-1,178240516115631E+01;-1,402518193738506E+02;-1,232076572077040E+01;-1,396608514107427E+02;-1,303923884489355E+01;-1,388515932194269E+02;-1,385603533083678E+01;-1,382813791453605E+02;-1,482184413335648E+01;-1,378550884994670E+02;-1,589298940588006E+01;-1,369005827232809E+02;-1,694729639818565E+01;-1,361486749004007E+02;-1,825377394790569E+01;-1,355272618646902E+02;-1,961062516434876E+01;-1,375767672627789E+02;-2,084578618437722E+01;-1,359089515014862E+02;-2,231518306357817E+01;-1,330867017607957E+02;-2,370280021406185E+01;-1,306484535180903E+02;-2,482224326997305E+01;-1,277248068599417E+02;-2,621669691894621E+01;-1,246824314680876E+02;-2,734109570921387E+01;-1,219599645053312E+02;-2,847713292642499E+01;-1,179073944981653E+02;-2,957979663788900E+01;-1,129752909439501E+02;-3,040962959230809E+01;-1,110019000392365E+02;-3,163551146096016E+01;-1,064079393202904E+02;-3,217829674384418E+01;-1,000868804025035E+02;-3,324930554929040E+01;-9,023124323284681E+01;-3,323968471120276E+01;-8,601770631162772E+01;-3,364708347280629E+01;-8,402375828423310E+01;
2,200000000000000E+07;-3,114541352849352E+01;-8,069502968038351E+01;-1,995442611345326E+01;-1,461082018905128E+02;-1,862905564971058E+01;-1,463853173554889E+02;-1,717714956761217E+01;-1,472895760444873E+02;-1,598789287195804E+01;-1,476957038972450E+02;-1,482354553052552E+01;-1,481810099156976E+02;-1,371945277930389E+01;-1,484524330013579E+02;-1,273222057278151E+01;-1,485040557480392E+02;-1,194698110599009E+01;-1,484928583891103E+02;-1,132363694293612E+01;-1,482623028444256E+02;-1,085332035074758E+01;-1,482004865069892E+02;-1,060240468607000E+01;-1,479701475914677E+02;-1,061645887354454E+01;-1,474538114826673E+02;-1,074545513715488E+01;-1,471108562089482E+02;-1,106795348007424E+01;-1,467466940348945E+02;-1,159126298268957E+01;-1,460939109775661E+02;-1,231126354572502E+01;-1,452709292476589E+02;-1,309721204871107E+01;-1,445414681362116E+02;-1,408808414420797E+01;-1,438237140537585E+02;-1,517402671338892E+01;-1,427607699489186E+02;-1,629092739140210E+01;-1,417756130582157E+02;-1,762774448238960E+01;-1,405092231693139E+02;-1,926319966052451E+01;-1,406740246529336E+02;-2,050895218909012E+01;-1,387095455238986E+02;-2,196982810790011E+01;-1,349994358201423E+02;-2,328899677177068E+01;-1,313286570471078E+02;-2,437255558463372E+01;-1,279766468241317E+02;-2,562270735590509E+01;-1,238956872403257E+02;-2,683523126933692E+01;-1,194492034608577E+02;-2,773562673540143E+01;-1,143742471647421E+02;-2,856957248494080E+01;-1,090667889188315E+02;-2,932662887454386E+01;-1,046428468212415E+02;-3,019319603709046E+01;-9,743584748281940E+01;-3,061597842349871E+01;-9,210550349797241E+01;-3,101489138917600E+01;-8,520781711748100E+01;-3,101538683170563E+01;-8,260302125649332E+01;-3,125050668272911E+01;-7,967419165347556E+01;
2,300000000000000E+07;-2,835005916634093E+01;-8,252848288502663E+01;-1,968574602533470E+01;-1,527982637093403E+02;-1,834869813463165E+01;-1,532569557611320E+02;-1,687103332302775E+01;-1,542306046351417E+02;-1,563758354814042E+01;-1,545487151093363E+02;-1,443204945119497E+01;-1,549809675119111E+02;-1,328499724524131E+01;-1,552339011346351E+02;-1,225779598043843E+01;-1,555294794771533E+02;-1,143535842077567E+01;-1,553661408804377E+02;-1,075214661489499E+01;-1,552550411145489E+02;-1,025259218207623E+01;-1,550111973165781E+02;-9,963162867727069E+00;-1,547677333382094E+02;-9,933022306545574E+00;-1,542656575530425E+02;-1,005967124465713E+01;-1,539802358743790E+02;-1,037860678799764E+01;-1,535502363680575E+02;-1,088679154226641E+01;-1,529719071737501E+02;-1,159331525791927E+01;-1,520467401875965E+02;-1,238300663964156E+01;-1,511606509820517E+02;-1,343541712143179E+01;-1,501407498045963E+02;-1,449972189403359E+01;-1,489093214637315E+02;-1,565494866563023E+01;-1,475439724249745E+02;-1,699019220430415E+01;-1,455290350125357E+02;-1,867026877134646E+01;-1,428047675840414E+02;-1,986996001926678E+01;-1,400868206489050E+02;-2,126896376931298E+01;-1,354870768273670E+02;-2,246296412787924E+01;-1,313156289449886E+02;-2,346209711866082E+01;-1,271462830844863E+02;-2,452709480826202E+01;-1,223985798789409E+02;-2,556630528481190E+01;-1,168634719685993E+02;-2,615340960811888E+01;-1,112407993370179E+02;-2,677464029709258E+01;-1,063573753222523E+02;-2,735557015749534E+01;-1,009898964319067E+02;-2,770610028277297E+01;-9,544649461170036E+01;-2,796843009842999E+01;-9,202436074186484E+01;-2,827366446457207E+01;-8,653720347749555E+01;-2,843953019242285E+01;-8,513434494218451E+01;-2,834946962039400E+01;-8,308259611708337E+01;
2,400000000000000E+07;-2,576821607664002E+01;-9,071302410215188E+01;-1,953465614802476E+01;-1,572830198025784E+02;-1,809912882716823E+01;-1,582407795457237E+02;-1,662988125278092E+01;-1,593062725541922E+02;-1,533476446603864E+01;-1,600680638499565E+02;-1,407589950134510E+01;-1,607044581594360E+02;-1,288314522976171E+01;-1,611126460269359E+02;-1,183719268648946E+01;-1,615636868586354E+02;-1,096523371034234E+01;-1,616363947391300E+02;-1,025021951349658E+01;-1,617237392099588E+02;-9,703111812542879E+00;-1,617751227936983E+02;-9,411794629705154E+00;-1,615840200321723E+02;-9,346964405486318E+00;-1,612488562248596E+02;-9,470794785822996E+00;-1,609840070017540E+02;-9,797364077784509E+00;-1,605003166871068E+02;-1,031042154034660E+01;-1,597629656674731E+02;-1,101865269361102E+01;-1,588834356954046E+02;-1,182935192539200E+01;-1,578800971983246E+02;-1,286004947522213E+01;-1,563743257898568E+02;-1,397474826141194E+01;-1,547863050042190E+02;-1,510609298034196E+01;-1,527737572372181E+02;-1,637474107886522E+01;-1,501136692173477E+02;-1,791182661782335E+01;-1,451084274026522E+02;-1,901517694213474E+01;-1,421008211109316E+02;-2,028288178809407E+01;-1,368964055640195E+02;-2,130172146531422E+01;-1,321554573776342E+02;-2,224050000990365E+01;-1,273090855085727E+02;-2,297005772866096E+01;-1,221962286172342E+02;-2,381773153282786E+01;-1,162268236663467E+02;-2,430647533764359E+01;-1,123562611744252E+02;-2,466708331570958E+01;-1,074287624313299E+02;-2,500236938878194E+01;-1,036835852151284E+02;-2,520610861191149E+01;-9,870939871020013E+01;-2,541277680394512E+01;-9,660655334278215E+01;-2,558594552024885E+01;-9,233117784330059E+01;-2,577153602853583E+01;-9,090418716812694E+01;-2,579423433736495E+01;-9,079540849311714E+01;
2,500000000000000E+07;-2,350622670625373E+01;-9,992961467172034E+01;-1,925343284202204E+01;-1,607193597780276E+02;-1,780985194051745E+01;-1,619392362385581E+02;-1,628630781042729E+01;-1,634398017641027E+02;-1,496061984065410E+01;-1,645812854388055E+02;-1,368150689770511E+01;-1,655053294910120E+02;-1,246519593443520E+01;-1,664437738538555E+02;-1,136958119715506E+01;-1,672394116432995E+02;-1,048303594787306E+01;-1,675487467747568E+02;-9,759948541386166E+00;-1,679990341562517E+02;-9,219756181487973E+00;-1,680461607898901E+02;-8,900190249817086E+00;-1,680511096018232E+02;-8,855978209309420E+00;-1,677879987130215E+02;-8,971548130100567E+00;-1,675738786756738E+02;-9,299908865393631E+00;-1,669751093003076E+02;-9,823034185694327E+00;-1,662793781570436E+02;-1,055146515522544E+01;-1,651304162281118E+02;-1,131478758406896E+01;-1,639857707518531E+02;-1,234355324672057E+01;-1,619941433065506E+02;-1,341059512634173E+01;-1,599311508417769E+02;-1,453832096827650E+01;-1,574875393694691E+02;-1,575794651466470E+01;-1,540372313209208E+02;-1,706038632311902E+01;-1,479391635266146E+02;-1,805223976078605E+01;-1,444369288702848E+02;-1,920037236508533E+01;-1,388465800280486E+02;-2,004475024058040E+01;-1,341623676282125E+02;-2,079688096834086E+01;-1,292590117947983E+02;-2,141090324886510E+01;-1,244299541118591E+02;-2,199816514904040E+01;-1,189907257450553E+02;-2,231260945424594E+01;-1,158419919116168E+02;-2,267248290790445E+01;-1,120406172997066E+02;-2,284249740945629E+01;-1,090776199588965E+02;-2,303172303285370E+01;-1,057018751477251E+02;-2,314440457771169E+01;-1,042821124059464E+02;-2,341741017455083E+01;-1,004751606752618E+02;-2,353737826480605E+01;-1,006602629907960E+02;-2,354228916311877E+01;-1,002418711941587E+02;
2,600000000000000E+07;-2,164272240108309E+01;-1,104195076821012E+02;-1,884485354589260E+01;-1,629216126544673E+02;-1,738794102687626E+01;-1,652026741801094E+02;-1,585100502332447E+01;-1,673538028467536E+02;-1,451780747318660E+01;-1,688315425468044E+02;-1,320578499257210E+01;-1,702367861605781E+02;-1,197924442975882E+01;-1,714508548460396E+02;-1,091095817027551E+01;-1,725187025423105E+02;-1,001323078569125E+01;-1,732981627873905E+02;-9,280193051509972E+00;-1,738275636538905E+02;-8,737761155139696E+00;-1,740138856179510E+02;-8,416044900656303E+00;-1,741812778113907E+02;-8,357929378820451E+00;-1,739306146642437E+02;-8,476309561967323E+00;-1,735588624212777E+02;-8,802067580889213E+00;-1,729995329173020E+02;-9,329280058158879E+00;-1,721979996144115E+02;-1,003453343947218E+01;-1,707600420280541E+02;-1,082786632961551E+01;-1,691200183273678E+02;-1,180611799618230E+01;-1,670798518493755E+02;-1,286993987152860E+01;-1,645945551840279E+02;-1,393199270193520E+01;-1,617667076757407E+02;-1,506324479002138E+01;-1,578095099729850E+02;-1,611206957522772E+01;-1,512537638577465E+02;-1,703296260174631E+01;-1,471865993401110E+02;-1,801307456738981E+01;-1,415404942025507E+02;-1,873852498562119E+01;-1,363959977237334E+02;-1,929544366426990E+01;-1,322270244734544E+02;-1,972663569629990E+01;-1,276867893841537E+02;-2,024158918500231E+01;-1,233382243278441E+02;-2,045071284261106E+01;-1,204281525686516E+02;-2,079093464260537E+01;-1,175343003284442E+02;-2,092409585962536E+01;-1,154565093369394E+02;-2,102748745366814E+01;-1,131665973499136E+02;-2,116312708405209E+01;-1,120149961479149E+02;-2,136310849080888E+01;-1,102396808234505E+02;-2,161083785558345E+01;-1,104888049852687E+02;-2,154906415713051E+01;-1,100649004214376E+02;
2,700000000000000E+07;-1,977937094414808E+01;-1,202749332223011E+02;-1,829375834663499E+01;-1,653490987710668E+02;-1,687825979791313E+01;-1,682147400086625E+02;-1,536006787106318E+01;-1,709122313868381E+02;-1,399765384114521E+01;-1,729851982496765E+02;-1,270425518348589E+01;-1,748656967854047E+02;-1,148038636462058E+01;-1,765015345549355E+02;-1,040219011132328E+01;-1,777657779597653E+02;-9,503291224946196E+00;-1,786728438919696E+02;-8,787843879346262E+00;-1,794034113834820E+02;-8,228008760304700E+00;-1,797903827325867E+02;-7,927025632557509E+00;-1,799829324768845E+02;-7,868084834654233E+00;-1,797449112350063E+02;-7,976811416444400E+00;-1,793385356704758E+02;-8,295695651988268E+00;-1,786557807534789E+02;-8,811049728511820E+00;-1,775925949054038E+02;-9,516342374559882E+00;-1,760569317185677E+02;-1,029396547666395E+01;-1,741655454856182E+02;-1,122606765939301E+01;-1,717693515909445E+02;-1,222550769888790E+01;-1,689877414837455E+02;-1,322853393569677E+01;-1,653337521443610E+02;-1,422857428963580E+01;-1,610743663278959E+02;-1,511571033535072E+01;-1,545955101590571E+02;-1,586605522053176E+01;-1,505061009016253E+02;-1,669120231750637E+01;-1,446746018015822E+02;-1,728621078487580E+01;-1,404107928479913E+02;-1,773970491563424E+01;-1,363527641075036E+02;-1,813129619738510E+01;-1,323985092448023E+02;-1,852460897443525E+01;-1,286839335286462E+02;-1,871108180433284E+01;-1,266952431299528E+02;-1,899273811990209E+01;-1,243503456718201E+02;-1,912436926449194E+01;-1,228179579512149E+02;-1,917596496077826E+01;-1,215200535064658E+02;-1,940861865332843E+01;-1,206321775350051E+02;-1,958439415977860E+01;-1,200200791429148E+02;-1,974188325897611E+01;-1,197663182089494E+02;-1,974644212817296E+01;-1,205387721994494E+02;
2,800000000000000E+07;-1,808450361182175E+01;-1,309241836812106E+02;-1,765444997612501E+01;-1,680197166667795E+02;-1,632192716168401E+01;-1,712931182862726E+02;-1,478834217609416E+01;-1,746192514735304E+02;-1,348241225518965E+01;-1,771639148658673E+02;-1,218952393395350E+01;-1,794613753140836E+02;-1,097728419458186E+01;1,784338361263052E+02;-9,897088049405522E+00;1,769280058154353E+02;-8,996335512378081E+00;1,757183845546460E+02;-8,281629844306970E+00;1,748328573029492E+02;-7,723447784416985E+00;1,743664881628285E+02;-7,405198478195811E+00;1,742019166593835E+02;-7,348330564349376E+00;1,743477187473551E+02;-7,450477843458328E+00;1,749123999859034E+02;-7,763097466744325E+00;1,756334875714973E+02;-8,254960464007496E+00;1,768610915907247E+02;-8,939920418311697E+00;1,786783231348061E+02;-9,682308120072603E+00;-1,792843626415071E+02;-1,056580017364611E+01;-1,765122796025653E+02;-1,150515860462803E+01;-1,733396584481324E+02;-1,242673908019776E+01;-1,694367156881351E+02;-1,336066558195211E+01;-1,651188312614553E+02;-1,402275031056105E+01;-1,585137005731091E+02;-1,466448077119955E+01;-1,544597017973099E+02;-1,537990115017352E+01;-1,487832919207189E+02;-1,579979204841345E+01;-1,451789758656749E+02;-1,622544116356471E+01;-1,416190584979564E+02;-1,653212296976341E+01;-1,382990479662166E+02;-1,684513983718567E+01;-1,350502192619126E+02;-1,702811331055687E+01;-1,336936851261611E+02;-1,720931949187333E+01;-1,320901882955057E+02;-1,739830451635668E+01;-1,312781826538815E+02;-1,742184447053633E+01;-1,304367619707119E+02;-1,763061434656932E+01;-1,301278033681933E+02;-1,783483934147430E+01;-1,302666494246347E+02;-1,807165328668654E+01;-1,306005936931099E+02;-1,796322623594932E+01;-1,312787426854723E+02;
2,900000000000000E+07;-1,647334943655892E+01;-1,428746641113133E+02;-1,694733758945313E+01;-1,702827264628891E+02;-1,566480791996014E+01;-1,742955009048878E+02;-1,420456815648214E+01;-1,782038201989170E+02;-1,294059151763724E+01;1,786300467084559E+02;-1,168328708224788E+01;1,759278627171964E+02;-1,045603818546690E+01;1,733830799910349E+02;-9,412636728598224E+00;1,715023331987103E+02;-8,510256802130861E+00;1,700662910863833E+02;-7,788472898302613E+00;1,689736773536532E+02;-7,229645049920719E+00;1,683794732091284E+02;-6,920425048846369E+00;1,680982316998294E+02;-6,844996702168525E+00;1,683054837724942E+02;-6,941139535960380E+00;1,689294285649530E+02;-7,227451772221320E+00;1,698542245484515E+02;-7,705239592804452E+00;1,712419657007642E+02;-8,351574629105421E+00;1,731846614227023E+02;-9,044865674646342E+00;1,754354630943804E+02;-9,867727501726765E+00;1,786163407312844E+02;-1,075981773884820E+01;-1,780804099120269E+02;-1,157308090056004E+01;-1,738760868565732E+02;-1,236407750417678E+01;-1,693680176915745E+02;-1,286970512350609E+01;-1,632921303780663E+02;-1,344546088646764E+01;-1,595086129797579E+02;-1,396096231523192E+01;-1,545095002521609E+02;-1,433742479559654E+01;-1,510531189745732E+02;-1,468936985632770E+01;-1,483825798278604E+02;-1,497566051174936E+01;-1,453763842844353E+02;-1,518668703753815E+01;-1,436538520585670E+02;-1,541626529827594E+01;-1,424510640399571E+02;-1,562402532292062E+01;-1,412481558158084E+02;-1,579506557987779E+01;-1,404897307019418E+02;-1,581948132508835E+01;-1,404359709220116E+02;-1,599520625362179E+01;-1,405035379965213E+02;-1,619222014326161E+01;-1,409373034156957E+02;-1,638926325041811E+01;-1,419242467975621E+02;-1,639066252761831E+01;-1,427102488477940E+02;
