# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;db:Mem2[Trc1]_S21;ang:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;ang:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;ang:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;ang:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;ang:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;ang:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;ang:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;ang:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;ang:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;ang:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;ang:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;ang:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;ang:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;ang:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;ang:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;ang:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;ang:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;ang:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;ang:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;ang:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;ang:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;ang:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;ang:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;ang:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;ang:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;ang:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;ang:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;ang:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;ang:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;ang:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;ang:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;ang:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;ang:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;ang:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;ang:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;ang:Mem37[Trc1]_S21;
2,000000000000000E+07;-4,394763660760199E+01;-1,238819492610937E+02;-3,180437976657080E+01;-1,751518444133563E+02;-3,053427546233329E+01;-1,751756790632910E+02;-2,918041019854015E+01;-1,755579347395441E+02;-2,797154018416130E+01;-1,759595168746295E+02;-2,678415933657526E+01;-1,762348268650895E+02;-2,575421221465847E+01;-1,767476573179146E+02;-2,469488156985143E+01;-1,766232737641172E+02;-2,385838014692847E+01;-1,768755699277571E+02;-2,317832078250842E+01;-1,768500384634584E+02;-2,272905494666403E+01;-1,769647072998545E+02;-2,236829688050530E+01;-1,773238082305011E+02;-2,234342422284123E+01;-1,770735553261213E+02;-2,242196737767729E+01;-1,773263400473614E+02;-2,273833660451076E+01;-1,774950195336392E+02;-2,318692169289093E+01;-1,771749893057405E+02;-2,385013338705794E+01;-1,773222701169519E+02;-2,465580943592780E+01;-1,768554489591063E+02;-2,562038786272394E+01;-1,771778721683323E+02;-2,664001119427500E+01;-1,767106521938509E+02;-2,777590946514152E+01;-1,757669014001188E+02;-2,914426626063077E+01;-1,752652638478658E+02;-3,028056305513520E+01;-1,750383889752460E+02;-3,293826805873769E+01;-1,715498349092494E+02;-3,460796402788075E+01;-1,689510347924202E+02;-3,558878992262971E+01;-1,680567436474843E+02;-3,679943541048276E+01;-1,645485775818959E+02;-3,779369080866093E+01;-1,604612571103978E+02;-3,875365262467940E+01;-1,569849889917348E+02;-4,035478238295140E+01;-1,559387045525551E+02;-4,103341262067465E+01;-1,492033081861063E+02;-4,212676878569950E+01;-1,436378630177947E+02;-4,275905788439172E+01;-1,408374798043054E+02;-4,373469782796630E+01;-1,349008996422457E+02;-4,447603464475534E+01;-1,277519799443428E+02;-4,479553855168214E+01;-1,255544325940595E+02;-4,553460821519401E+01;-1,227781468641856E+02;
2,100000000000000E+07;-4,351405972719488E+01;-1,277458438857201E+02;-3,151704546165096E+01;1,782522555242051E+02;-3,026805893046113E+01;1,778774608844257E+02;-2,890343400777383E+01;1,778259747910862E+02;-2,753535665108152E+01;1,769016019193785E+02;-2,634307286451384E+01;1,766746197579274E+02;-2,530889942886168E+01;1,758569947331574E+02;-2,430186235151805E+01;1,760042739873364E+02;-2,345370632393443E+01;1,756613894539657E+02;-2,271999384222243E+01;1,752255851189007E+02;-2,231858644633783E+01;1,750701550226091E+02;-2,200908714083553E+01;1,745861676936090E+02;-2,194005098858254E+01;1,747866599463574E+02;-2,212105684625108E+01;1,742502451723909E+02;-2,243091474653786E+01;1,743234628824825E+02;-2,289373614654401E+01;1,743379709749223E+02;-2,370290038580929E+01;1,745439933996985E+02;-2,454204738154869E+01;1,746508287625822E+02;-2,549302785243506E+01;1,753560483445869E+02;-2,668883337548440E+01;1,755615427804456E+02;-2,781965810937319E+01;1,769361785392383E+02;-2,905698323630619E+01;1,776512903484842E+02;-3,035086418461166E+01;1,797663801900612E+02;-3,297280402570971E+01;-1,764879023484580E+02;-3,449867501025936E+01;-1,732691858835367E+02;-3,559513159123752E+01;-1,709781700600209E+02;-3,708351498622073E+01;-1,674916794051487E+02;-3,813733320020626E+01;-1,633032017539893E+02;-3,897698581861916E+01;-1,569356359398096E+02;-4,026644811255941E+01;-1,570167649985317E+02;-4,095962540541075E+01;-1,493290121757988E+02;-4,197856078121372E+01;-1,452697398208785E+02;-4,187414050178521E+01;-1,402115289898160E+02;-4,285629273602691E+01;-1,382356725032145E+02;-4,216165374551791E+01;-1,325709553056486E+02;-4,272548076255774E+01;-1,284943859632887E+02;-4,309139181051155E+01;-1,285862496315596E+02;
2,200000000000000E+07;-4,196426309943284E+01;-1,274198313829914E+02;-3,138136710700972E+01;1,725916239727989E+02;-3,003308981214359E+01;1,713797454361206E+02;-2,863761695005941E+01;1,710443611350830E+02;-2,727096286369089E+01;1,699359070053505E+02;-2,611074869388157E+01;1,695325717149360E+02;-2,506117899976561E+01;1,688003185818975E+02;-2,399016906381897E+01;1,684915574800249E+02;-2,312473285466499E+01;1,677747112793517E+02;-2,246046803625294E+01;1,677471085994345E+02;-2,210538144556112E+01;1,674012569621390E+02;-2,180147724928715E+01;1,672209632427009E+02;-2,176025561122049E+01;1,670337848684912E+02;-2,197221119970155E+01;1,670802351702708E+02;-2,233454050648119E+01;1,673386472079242E+02;-2,284237457742194E+01;1,678565658744365E+02;-2,360911081168997E+01;1,681900420095374E+02;-2,445159912062394E+01;1,689301545445704E+02;-2,542093698594707E+01;1,696853476157887E+02;-2,667889110325017E+01;1,715515534572663E+02;-2,781960954968294E+01;1,726649829579094E+02;-2,902363116400912E+01;1,736191970757431E+02;-3,033262108393115E+01;1,756531172215267E+02;-3,295198797490081E+01;-1,784221177903469E+02;-3,447184387523748E+01;-1,734513425906407E+02;-3,539232654575886E+01;-1,716074509223386E+02;-3,652701877348609E+01;-1,666565079230105E+02;-3,773976325185141E+01;-1,652467310077751E+02;-3,870597021086552E+01;-1,582343302031062E+02;-3,924016575581645E+01;-1,542580268989547E+02;-4,006135779366826E+01;-1,473572243681407E+02;-4,074180255145231E+01;-1,425841078752050E+02;-4,058770987271649E+01;-1,384262030398935E+02;-4,167861754400515E+01;-1,341868033078359E+02;-4,115869327612987E+01;-1,316918721972466E+02;-4,130778615412390E+01;-1,267751831837803E+02;-4,140875267918606E+01;-1,265398476698654E+02;
2,300000000000000E+07;-3,999456013972915E+01;-1,324328367527876E+02;-3,120992839474013E+01;1,664261382044959E+02;-2,995083393349912E+01;1,645360275965105E+02;-2,842350095987937E+01;1,638852618501822E+02;-2,718302087255316E+01;1,629485725395531E+02;-2,599409637519052E+01;1,624312426507115E+02;-2,483220184873971E+01;1,616639737781967E+02;-2,378881749606112E+01;1,611123947765780E+02;-2,302127463574998E+01;1,611415987296771E+02;-2,235091361879581E+01;1,606824720259258E+02;-2,190875865725208E+01;1,608314448204056E+02;-2,166064506035583E+01;1,607230528446895E+02;-2,165459478798809E+01;1,609835496259888E+02;-2,187570093640023E+01;1,613269210093186E+02;-2,217111483219027E+01;1,616953478245680E+02;-2,265063712771253E+01;1,623345914122851E+02;-2,343463666480023E+01;1,630897693088113E+02;-2,424184443509737E+01;1,645334099111913E+02;-2,523755891993169E+01;1,651362205875069E+02;-2,640631305213687E+01;1,666845872866635E+02;-2,764839834391568E+01;1,690194371513696E+02;-2,884505149460836E+01;1,709937045298835E+02;-3,006443678769786E+01;1,738308471640586E+02;-3,265641368563158E+01;1,791525922548631E+02;-3,384564123691359E+01;-1,751541362491745E+02;-3,480906776787199E+01;-1,696345803571394E+02;-3,548759310054734E+01;-1,656976297276933E+02;-3,696844030499163E+01;-1,585409468994326E+02;-3,760523540501440E+01;-1,533620106871497E+02;-3,851822386477325E+01;-1,502015002028424E+02;-3,869707430259269E+01;-1,462489074238459E+02;-3,865205213133451E+01;-1,418307042512989E+02;-3,891507973100708E+01;-1,385177244834823E+02;-3,938427026769234E+01;-1,359350829108906E+02;-3,939904425351275E+01;-1,341069315715379E+02;-3,964704205399865E+01;-1,313575990615169E+02;-3,976163358970189E+01;-1,337617425829892E+02;
2,400000000000000E+07;-3,786320402474240E+01;-1,384075855735388E+02;-3,130530932495154E+01;1,616050019030479E+02;-2,997933223751530E+01;1,599152985507988E+02;-2,847329876316290E+01;1,579014733009301E+02;-2,716880050866381E+01;1,572041013457342E+02;-2,596000023616546E+01;1,566617069819562E+02;-2,474636402168277E+01;1,557970474964651E+02;-2,372117249647599E+01;1,553678834162353E+02;-2,285791292946548E+01;1,551235752888767E+02;-2,222225434295412E+01;1,546396774057449E+02;-2,176088095792908E+01;1,547524780278280E+02;-2,143712804524885E+01;1,549061036391124E+02;-2,139068649178100E+01;1,550884534645657E+02;-2,156236714109802E+01;1,556432603210687E+02;-2,191546519538726E+01;1,563220679839740E+02;-2,242699758161450E+01;1,571403139507909E+02;-2,314119902127123E+01;1,579330486002572E+02;-2,399862457961543E+01;1,591978174943582E+02;-2,495454384549167E+01;1,606250259774083E+02;-2,602477122880892E+01;1,624693953292716E+02;-2,720989146613870E+01;1,648642237271877E+02;-2,855419848602738E+01;1,676033906906472E+02;-2,967119016286097E+01;1,712296768028201E+02;-3,197513747936908E+01;1,781394376851998E+02;-3,280772010673008E+01;-1,752121135831914E+02;-3,406449918747456E+01;-1,706005202373906E+02;-3,462410140854677E+01;-1,666021044908107E+02;-3,539052832472082E+01;-1,626125925348384E+02;-3,608858616375581E+01;-1,546535356614563E+02;-3,662806579986133E+01;-1,506340568692135E+02;-3,658785796383221E+01;-1,468212854543827E+02;-3,710540785723664E+01;-1,441689099018200E+02;-3,724643736887299E+01;-1,435348233513088E+02;-3,728133423769202E+01;-1,403398049003374E+02;-3,764075092958620E+01;-1,397362455367906E+02;-3,772617730681710E+01;-1,376751516857380E+02;-3,769990180992671E+01;-1,410473339919028E+02;
2,500000000000000E+07;-3,567871978969397E+01;-1,470646466917988E+02;-3,135351723497731E+01;1,571729720365023E+02;-2,996803927210702E+01;1,546215502743396E+02;-2,843938661395654E+01;1,541136329440160E+02;-2,706448212241434E+01;1,530764755009098E+02;-2,583920124807093E+01;1,517356091253269E+02;-2,462393010056913E+01;1,504503405605103E+02;-2,357035264602425E+01;1,499488821161450E+02;-2,268707627226745E+01;1,493154678608323E+02;-2,200773344456147E+01;1,488939889695685E+02;-2,151605014336474E+01;1,492662273735316E+02;-2,118856176235310E+01;1,491793927957764E+02;-2,111698270667825E+01;1,493809064607168E+02;-2,130886166262679E+01;1,499547149648920E+02;-2,162805265164208E+01;1,507097732282289E+02;-2,215500524199062E+01;1,512289448654897E+02;-2,278974905871920E+01;1,526024206563290E+02;-2,371507511088339E+01;1,540848490076681E+02;-2,457273230346201E+01;1,559251320091101E+02;-2,575938956610264E+01;1,580899553085088E+02;-2,682119270266517E+01;1,613579992625784E+02;-2,801343874952040E+01;1,638439934768217E+02;-2,919145134307816E+01;1,683180056999552E+02;-3,122539772552743E+01;1,772306778325148E+02;-3,199425480009101E+01;-1,764126380542669E+02;-3,277663367036195E+01;-1,722486863746306E+02;-3,344849309840165E+01;-1,681156450082398E+02;-3,408089438603423E+01;-1,639871378477381E+02;-3,462949913331590E+01;-1,589428413151472E+02;-3,449766474565092E+01;-1,547043165148475E+02;-3,481130441027992E+01;-1,512058177255932E+02;-3,491432572813822E+01;-1,514425276739969E+02;-3,494283991668030E+01;-1,499346864590172E+02;-3,523188153405960E+01;-1,482081354591864E+02;-3,535460969456039E+01;-1,482638916085621E+02;-3,573348498975264E+01;-1,496557955506981E+02;-3,578127491724327E+01;-1,464974422247866E+02;
2,600000000000000E+07;-3,433858292962708E+01;-1,548386299811885E+02;-3,086101532599083E+01;1,537295310386454E+02;-2,960645415259700E+01;1,528706062489813E+02;-2,825052819196810E+01;1,511663127606380E+02;-2,694262192670787E+01;1,486872062689312E+02;-2,562411318900317E+01;1,473032328010211E+02;-2,444880534539756E+01;1,459048586495191E+02;-2,338567425725159E+01;1,447148473578523E+02;-2,246086446892126E+01;1,442907598419712E+02;-2,174587396683336E+01;1,438198252620054E+02;-2,127683362632224E+01;1,435174663331163E+02;-2,095342290173561E+01;1,437387351269999E+02;-2,089005903008412E+01;1,441025298950015E+02;-2,103085762466709E+01;1,445516330653124E+02;-2,143471129996227E+01;1,447496132070611E+02;-2,177290560757376E+01;1,460404048429210E+02;-2,249021522142381E+01;1,473539047723847E+02;-2,337045911484587E+01;1,491705544648871E+02;-2,438720738938134E+01;1,518385401863038E+02;-2,531660186935697E+01;1,543598943373113E+02;-2,637001645704954E+01;1,573334798107921E+02;-2,741861198877613E+01;1,617487730979572E+02;-2,845970590528193E+01;1,654264053356043E+02;-3,028041760266280E+01;1,749120631049139E+02;-3,105259040727044E+01;1,799482202668309E+02;-3,136224492137582E+01;-1,749274494451515E+02;-3,195730160735099E+01;-1,712691341940039E+02;-3,241566199264356E+01;-1,667716966139855E+02;-3,279399744526274E+01;-1,628063438534584E+02;-3,310669702687430E+01;-1,604551009784902E+02;-3,323653731122009E+01;-1,583767120011708E+02;-3,353462848314501E+01;-1,583423872304362E+02;-3,346162139259857E+01;-1,574989353223783E+02;-3,374067667754920E+01;-1,562450857338947E+02;-3,390489047060312E+01;-1,563524938601144E+02;-3,406576683524216E+01;-1,552951432033710E+02;-3,412851562536339E+01;-1,562145943391349E+02;
2,700000000000000E+07;-3,284548514697063E+01;-1,662562728224170E+02;-3,063389741378713E+01;1,528079731697917E+02;-2,950048614038457E+01;1,505744253986923E+02;-2,795012716943895E+01;1,471108262794822E+02;-2,659566963516207E+01;1,452058045773568E+02;-2,534810895917090E+01;1,433905871084746E+02;-2,422264616248271E+01;1,415715249675865E+02;-2,315619603824024E+01;1,401425907414478E+02;-2,219708953204433E+01;1,396359737518916E+02;-2,149121105860168E+01;1,384087771995489E+02;-2,103600819629825E+01;1,383935005584894E+02;-2,070091898403335E+01;1,381595036367334E+02;-2,057621528734989E+01;1,384769962023396E+02;-2,074321444854429E+01;1,391174499291012E+02;-2,108548584612078E+01;1,395238847018995E+02;-2,153241710238919E+01;1,409647176329263E+02;-2,223478128376351E+01;1,428684352147303E+02;-2,304721564238073E+01;1,447059337742575E+02;-2,392120830659259E+01;1,472627919699400E+02;-2,491809795213488E+01;1,501311585611881E+02;-2,588731213999573E+01;1,538819960170042E+02;-2,681397286481872E+01;1,579177042284533E+02;-2,768064594982538E+01;1,620708826567637E+02;-2,928040178757372E+01;1,721222339680952E+02;-2,983083549680652E+01;1,755830130295641E+02;-3,028039456332127E+01;-1,797268975106346E+02;-3,070842940558826E+01;-1,753128150405142E+02;-3,113126487795543E+01;-1,716423620399172E+02;-3,130155273892266E+01;-1,697235471811302E+02;-3,155535320962483E+01;-1,685469423343461E+02;-3,161254878977673E+01;-1,655170841837960E+02;-3,181801962691333E+01;-1,654677469452556E+02;-3,227173147109172E+01;-1,651336024230562E+02;-3,208977526684018E+01;-1,634956289727492E+02;-3,237456958346358E+01;-1,649747125625019E+02;-3,262266858623189E+01;-1,652554845451445E+02;-3,268248636002567E+01;-1,650526358719637E+02;
2,800000000000000E+07;-3,152455390481873E+01;-1,757271195506280E+02;-3,018460806137254E+01;1,495839550469592E+02;-2,901629452733707E+01;1,471677091189855E+02;-2,761567842274271E+01;1,438859772146311E+02;-2,630598588961778E+01;1,414891552729788E+02;-2,505855860218938E+01;1,387747103896101E+02;-2,391522940450913E+01;1,366392470563793E+02;-2,285945179516073E+01;1,351824877806088E+02;-2,191018440614170E+01;1,339019017233017E+02;-2,122083584758379E+01;1,330126732529538E+02;-2,070970662374261E+01;1,329661901060097E+02;-2,038212181072721E+01;1,326882168565546E+02;-2,029214069855055E+01;1,328359356966746E+02;-2,042192656916653E+01;1,337406882734673E+02;-2,077804536768166E+01;1,342626162113893E+02;-2,118828042013331E+01;1,353053524493215E+02;-2,192311193809125E+01;1,378164560416531E+02;-2,266730354373875E+01;1,402242187029620E+02;-2,345068138894374E+01;1,431076512161941E+02;-2,440464336572215E+01;1,460825284759943E+02;-2,515627329652734E+01;1,496825783885983E+02;-2,613471191001109E+01;1,541695207888333E+02;-2,690729703455441E+01;1,587124106791943E+02;-2,821526443286153E+01;1,666432382104125E+02;-2,885013084748746E+01;1,715423816812080E+02;-2,911786997973490E+01;1,737510206446605E+02;-2,929764484386855E+01;1,785405080813686E+02;-2,969517913731823E+01;-1,776895587613481E+02;-3,005154692775355E+01;-1,758941339709969E+02;-3,017301347109418E+01;-1,763189212018383E+02;-3,027977054888343E+01;-1,738027566316265E+02;-3,066391568407575E+01;-1,739771143924787E+02;-3,054250810999364E+01;-1,735154609471938E+02;-3,073959616670568E+01;-1,737074946076780E+02;-3,093203925276439E+01;-1,772592392236254E+02;-3,116226656458863E+01;-1,744151906280619E+02;-3,126979591265938E+01;-1,759172566030040E+02;
2,900000000000000E+07;-3,006083643522428E+01;1,735296391438584E+02;-2,980943163150478E+01;1,478475799243393E+02;-2,862491544920807E+01;1,440487587716122E+02;-2,728329820761421E+01;1,402375406301816E+02;-2,597472499700374E+01;1,370923929483218E+02;-2,473154651996817E+01;1,341149843109555E+02;-2,363627939713142E+01;1,319368908708339E+02;-2,260754175385482E+01;1,300113574264045E+02;-2,167085729545378E+01;1,285294592503881E+02;-2,093557282314480E+01;1,277709458593672E+02;-2,046082557038494E+01;1,272736657095593E+02;-2,009845264565396E+01;1,272402603987847E+02;-2,001416951060137E+01;1,269357665399339E+02;-2,018230903489405E+01;1,277423275773002E+02;-2,047391000594290E+01;1,287569807015675E+02;-2,081921135350672E+01;1,305488469362075E+02;-2,154174716475033E+01;1,323180103611195E+02;-2,219272640333683E+01;1,352400316598071E+02;-2,311268486498211E+01;1,373913457226362E+02;-2,386468226480895E+01;1,413358640891479E+02;-2,466956869140978E+01;1,454821656352472E+02;-2,550507824713378E+01;1,495581045659259E+02;-2,602288943359333E+01;1,540307704775141E+02;-2,703799562583964E+01;1,631758304079510E+02;-2,762022567952227E+01;1,656018250778938E+02;-2,778285559320597E+01;1,695350335948144E+02;-2,802589609913834E+01;1,729422411011883E+02;-2,816126427888907E+01;1,734438022562691E+02;-2,869418797882209E+01;1,756550314112735E+02;-2,858182650003508E+01;1,758745144158499E+02;-2,883357691381958E+01;1,774112598545668E+02;-2,923787703967989E+01;1,769674172367580E+02;-2,924789585954450E+01;1,767793458466259E+02;-2,940008749533798E+01;1,763788159666961E+02;-2,975343066760426E+01;1,756289198117061E+02;-2,976653775099359E+01;1,734829776835576E+02;-3,008770108057858E+01;1,747615621869085E+02;
