# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;db:Mem2[Trc1]_S21;ang:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;ang:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;ang:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;ang:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;ang:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;ang:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;ang:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;ang:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;ang:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;ang:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;ang:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;ang:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;ang:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;ang:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;ang:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;ang:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;ang:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;ang:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;ang:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;ang:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;ang:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;ang:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;ang:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;ang:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;ang:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;ang:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;ang:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;ang:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;ang:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;ang:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;ang:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;ang:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;ang:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;ang:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;ang:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;ang:Mem37[Trc1]_S21;db:Mem38[Trc1]_S21;ang:Mem38[Trc1]_S21;
2,000000000000000E+07;-3,869669757605308E+01;-1,095645776932896E+02;-5,100777646326751E+01;-1,043992227242238E+02;-4,898915040828361E+01;-1,056818049265383E+02;-4,773171195313612E+01;-1,065592707926823E+02;-4,591445542082027E+01;-1,071845385726650E+02;-4,432083771507080E+01;-1,095838431933876E+02;-4,265147845865633E+01;-1,102807283663567E+02;-4,138106464737851E+01;-1,107849586751088E+02;-4,016296819280807E+01;-1,100899557614462E+02;-3,938609419905657E+01;-1,116218957750276E+02;-3,849492880407931E+01;-1,108189555006603E+02;-3,770287291035496E+01;-1,100604144812308E+02;-3,722014717102349E+01;-1,101315793816164E+02;-3,690392729748893E+01;-1,104893842692258E+02;-3,676598995723558E+01;-1,110387582339940E+02;-3,703410568160162E+01;-1,098529592182640E+02;-3,749442494442608E+01;-1,101944205573812E+02;-3,810938877285055E+01;-1,105799509444742E+02;-3,918676157005144E+01;-1,100350618245409E+02;-4,014380248269087E+01;-1,092195965893677E+02;-4,155027770147964E+01;-1,076461981530465E+02;-4,321812199427363E+01;-1,079687945152690E+02;-4,482788592513056E+01;-1,007151723337863E+02;-4,691961199295581E+01;-1,009809264408383E+02;-4,896841110336462E+01;-9,420826346823948E+01;-5,171368414633490E+01;-8,193748509711440E+01;-5,307484781001227E+01;-6,689763949581950E+01;-5,392119074655420E+01;-4,278576790703031E+01;-5,261115595312299E+01;-2,762581099145254E+01;-5,170101522759515E+01;-1,382616668166748E+01;-5,059978764052020E+01;-1,375317464964196E+01;-4,885177952775946E+01;-1,017518590901686E+01;-4,925733316453244E+01;-1,214846970879798E+00;-4,900411034386985E+01;2,254528126163923E+00;-4,770360342412382E+01;2,375296431205637E+00;-4,789124701907119E+01;4,116489689536591E-01;-4,841974051560665E+01;2,063593092199970E+00;-4,733356324409681E+01;4,607030579342160E+00;
2,100000000000000E+07;-3,763883092062328E+01;-1,183284274336307E+02;-4,867568978156476E+01;-1,116714688471632E+02;-4,769529349301009E+01;-1,166254959376390E+02;-4,604346738380373E+01;-1,178857159978460E+02;-4,462608561104201E+01;-1,168895929415673E+02;-4,311326484351020E+01;-1,181470677136457E+02;-4,179234035976361E+01;-1,183451534134506E+02;-4,056209376678029E+01;-1,197035754263487E+02;-3,906124523202253E+01;-1,189475321436438E+02;-3,834819352680832E+01;-1,186594128926279E+02;-3,735598021842006E+01;-1,195850129584254E+02;-3,672724835801861E+01;-1,191273174048916E+02;-3,638198205504251E+01;-1,196276106921905E+02;-3,611438245070366E+01;-1,190678323099061E+02;-3,599268085030064E+01;-1,188940135643930E+02;-3,622194202147840E+01;-1,181781799914332E+02;-3,671211774039326E+01;-1,169607447307400E+02;-3,735121472255495E+01;-1,150875242465260E+02;-3,813744138845754E+01;-1,127586406535545E+02;-3,925429826665574E+01;-1,107879760295172E+02;-4,042448150159041E+01;-1,058935075400538E+02;-4,160733322535491E+01;-1,030766834030530E+02;-4,271899013227156E+01;-9,829585969432709E+01;-4,399723325680631E+01;-9,285311265819207E+01;-4,464667217404686E+01;-8,262114271573881E+01;-4,553030450672756E+01;-7,864823966575749E+01;-4,618165208260823E+01;-7,085574820333613E+01;-4,587077868007754E+01;-6,315614723605174E+01;-4,615265150572277E+01;-6,273410923099669E+01;-4,581362185085869E+01;-5,513985922577010E+01;-4,584585673667106E+01;-5,564706976296262E+01;-4,597540481416686E+01;-5,782628401263917E+01;-4,636979288969324E+01;-5,246422175342319E+01;-4,635086259787798E+01;-5,001529493255375E+01;-4,562347246609701E+01;-5,361296988339815E+01;-4,608163923453495E+01;-4,907803334915479E+01;-4,660927016275444E+01;-4,819468572136682E+01;-4,591166075277805E+01;-4,583874983891833E+01;
2,200000000000000E+07;-3,653977470225945E+01;-1,220646492311938E+02;-4,851104703518654E+01;-1,167462174021215E+02;-4,707633802852685E+01;-1,171088127821117E+02;-4,527882720829943E+01;-1,195191213749868E+02;-4,364206665482499E+01;-1,172406821798846E+02;-4,215926798113918E+01;-1,199409879982929E+02;-4,101515831452965E+01;-1,197590978012040E+02;-3,963173950925830E+01;-1,198529930783227E+02;-3,841519362754212E+01;-1,211887675206641E+02;-3,726189027309968E+01;-1,215249913105840E+02;-3,639401565969001E+01;-1,226788725136515E+02;-3,565378556383250E+01;-1,219359296311813E+02;-3,511898239844837E+01;-1,218126615836608E+02;-3,485712898102954E+01;-1,217957137721958E+02;-3,466330599938863E+01;-1,213729364548054E+02;-3,464231739525455E+01;-1,200786373972794E+02;-3,504399610506903E+01;-1,195305078936400E+02;-3,550175804163277E+01;-1,179257769184072E+02;-3,614166108090578E+01;-1,160707137670147E+02;-3,683824563906310E+01;-1,145466450696612E+02;-3,754936253021861E+01;-1,103989693697385E+02;-3,831212670111120E+01;-1,083112185361057E+02;-3,935237944871285E+01;-1,060938312206665E+02;-4,014343014811313E+01;-1,031902928730487E+02;-4,098254648532065E+01;-9,966772102468617E+01;-4,178604986580120E+01;-9,588108653768352E+01;-4,271085562723621E+01;-9,276433535240281E+01;-4,301844774312750E+01;-9,240979203924441E+01;-4,386848473679504E+01;-8,481603612814459E+01;-4,415368195952762E+01;-8,698763505848861E+01;-4,463833025517942E+01;-8,418109649166426E+01;-4,503151489212136E+01;-8,332795206745178E+01;-4,556452745737808E+01;-8,061056535946855E+01;-4,608092870629613E+01;-7,723485652235620E+01;-4,646735636802400E+01;-7,837456399904622E+01;-4,637815330493603E+01;-7,340770377631846E+01;-4,610055166865067E+01;-7,666250694326237E+01;-4,625083525057998E+01;-7,594662556606166E+01;
2,300000000000000E+07;-3,443934753851731E+01;-1,297592232123702E+02;-4,618121642810521E+01;-1,174309300194162E+02;-4,429065428582792E+01;-1,193684287070660E+02;-4,285253689935747E+01;-1,214597125620778E+02;-4,133004136822923E+01;-1,214302136559025E+02;-4,001115321138042E+01;-1,236095671535885E+02;-3,832397299202646E+01;-1,249894997054387E+02;-3,719217487678760E+01;-1,265215373603283E+02;-3,592343907921977E+01;-1,294322221339357E+02;-3,501633264497908E+01;-1,284207776229044E+02;-3,414377338457903E+01;-1,294176654628107E+02;-3,339851441560955E+01;-1,302526928728621E+02;-3,287878307466438E+01;-1,305534211695902E+02;-3,253314902990869E+01;-1,312398710523026E+02;-3,240808221860331E+01;-1,299134497607865E+02;-3,244246526615626E+01;-1,306494435927310E+02;-3,267266160643300E+01;-1,296403516067258E+02;-3,315322635464396E+01;-1,284485777289549E+02;-3,375228695151691E+01;-1,276741932690168E+02;-3,449614957299997E+01;-1,267624985923046E+02;-3,534839052872177E+01;-1,247824246376616E+02;-3,629008371139199E+01;-1,229678041076318E+02;-3,702442530581669E+01;-1,223477472363560E+02;-3,807786726607196E+01;-1,197413037824873E+02;-3,933711103711450E+01;-1,174840687601042E+02;-3,995698795058352E+01;-1,142380435634832E+02;-4,090247992031195E+01;-1,100636738673194E+02;-4,157853546332709E+01;-1,091280246573009E+02;-4,230743558530684E+01;-1,094763968258107E+02;-4,319403486446775E+01;-1,025170945519508E+02;-4,346040898802719E+01;-9,948203846829868E+01;-4,423235757996142E+01;-1,015181137903809E+02;-4,527836341420480E+01;-9,583134619792212E+01;-4,512462787281634E+01;-8,996068183060886E+01;-4,545319553131316E+01;-9,149154113062767E+01;-4,601424981660317E+01;-9,104954459764247E+01;-4,677808526506091E+01;-8,966976365749096E+01;-4,686405830745280E+01;-8,767512812798790E+01;
2,400000000000000E+07;-3,274259945338268E+01;-1,436504317835899E+02;-4,363050723279920E+01;-1,330591446916910E+02;-4,261645513505605E+01;-1,337352266473407E+02;-4,078201284553809E+01;-1,353400480288869E+02;-3,903813629201140E+01;-1,370886851026826E+02;-3,776435136281957E+01;-1,375464131517195E+02;-3,650801870900497E+01;-1,403182804797438E+02;-3,522397165988960E+01;-1,401193090301515E+02;-3,412957056945130E+01;-1,409696541285269E+02;-3,319366659507295E+01;-1,422901211708532E+02;-3,232728498408080E+01;-1,435318969308138E+02;-3,160886050845432E+01;-1,433651412027764E+02;-3,120401856322943E+01;-1,440819359920783E+02;-3,091250606632688E+01;-1,445778243731266E+02;-3,067653865719400E+01;-1,446953371454160E+02;-3,099424244353532E+01;-1,445471449383794E+02;-3,130522841011871E+01;-1,446058686416576E+02;-3,176369889011509E+01;-1,428606245288207E+02;-3,234267788561657E+01;-1,425181900235924E+02;-3,311302868993069E+01;-1,406301869661928E+02;-3,401474970034401E+01;-1,392235965348927E+02;-3,494190615203240E+01;-1,381486785925525E+02;-3,602651051115056E+01;-1,378526342159776E+02;-3,697461007009955E+01;-1,335028053906225E+02;-3,786308869853890E+01;-1,300857060253013E+02;-3,902904539812331E+01;-1,296392875169342E+02;-3,990179686892687E+01;-1,229433781688227E+02;-4,090131036347023E+01;-1,201612038332071E+02;-4,160915958473991E+01;-1,186630550705917E+02;-4,235011421767324E+01;-1,157405819408409E+02;-4,312507845082690E+01;-1,105254815384399E+02;-4,373240496334357E+01;-1,090700911030662E+02;-4,416253599173965E+01;-1,035720881678326E+02;-4,412677234488913E+01;-1,009602289002297E+02;-4,437580888279403E+01;-1,011217666812200E+02;-4,501506924158569E+01;-9,893065699089557E+01;-4,501624882502754E+01;-9,350773654111178E+01;-4,543889575104285E+01;-9,697666901691768E+01;
2,500000000000000E+07;-3,155679570014335E+01;-1,578934286462577E+02;-4,239678220621632E+01;-1,438307396987498E+02;-4,107127988035495E+01;-1,469804165957050E+02;-3,986843444586167E+01;-1,488350593440213E+02;-3,818467494809988E+01;-1,514224430953992E+02;-3,669577217040422E+01;-1,510277867695048E+02;-3,547911625120483E+01;-1,531052991970993E+02;-3,418965579544057E+01;-1,559009218807479E+02;-3,335313789166865E+01;-1,560263660596661E+02;-3,199924776892669E+01;-1,563143356956028E+02;-3,132504039659921E+01;-1,584601580112701E+02;-3,061561834206749E+01;-1,578124427138894E+02;-3,013313920150667E+01;-1,588910838716494E+02;-2,983143855427416E+01;-1,583072409557087E+02;-2,969403941898196E+01;-1,584255567217595E+02;-2,996268961968105E+01;-1,582141421724323E+02;-3,012263930921179E+01;-1,580618021507702E+02;-3,077288337006475E+01;-1,566808634684711E+02;-3,142898695862108E+01;-1,550560869909952E+02;-3,224652647998204E+01;-1,548345360751179E+02;-3,324943371624537E+01;-1,527387484895399E+02;-3,394520180416106E+01;-1,503087308322073E+02;-3,504335539456353E+01;-1,480148839729081E+02;-3,619448257317039E+01;-1,454976333244346E+02;-3,733864715511122E+01;-1,434490537706243E+02;-3,845064735899392E+01;-1,392963788579405E+02;-3,934194411259809E+01;-1,343100855216546E+02;-3,996037637576227E+01;-1,301155637909048E+02;-4,075941261983719E+01;-1,288602412976946E+02;-4,087840695721183E+01;-1,229905821257836E+02;-4,181378554690261E+01;-1,200417489876719E+02;-4,222599249828232E+01;-1,168977865472213E+02;-4,259691716636453E+01;-1,131856521681478E+02;-4,235967191807135E+01;-1,091908516015683E+02;-4,290601851654995E+01;-1,088207112973616E+02;-4,381770782340605E+01;-1,039356808087983E+02;-4,381247652279677E+01;-1,075746959225400E+02;-4,341223721285959E+01;-1,082534313879755E+02;
2,600000000000000E+07;-3,091152576832743E+01;-1,696727640747428E+02;-4,232415930720877E+01;-1,547462372269212E+02;-4,058706745748418E+01;-1,579169297376575E+02;-3,942665713005500E+01;-1,604759434813800E+02;-3,796879945510707E+01;-1,625183080771019E+02;-3,617210868825003E+01;-1,640809317576539E+02;-3,497572376912734E+01;-1,660658402881498E+02;-3,366446710480061E+01;-1,673613121113102E+02;-3,255479987762472E+01;-1,680386522225893E+02;-3,148026768553983E+01;-1,693597253414605E+02;-3,065531185472840E+01;-1,704100784287149E+02;-2,991512078182618E+01;-1,706305094706259E+02;-2,940433445097158E+01;-1,705543111587159E+02;-2,910854120355117E+01;-1,712688495588733E+02;-2,896958373333689E+01;-1,707205270770716E+02;-2,917661149043157E+01;-1,703113353661766E+02;-2,948097529854088E+01;-1,691685491726018E+02;-3,005498232899892E+01;-1,680514733626981E+02;-3,071361861044787E+01;-1,677005246371360E+02;-3,146011634992595E+01;-1,658845967595421E+02;-3,241939946560581E+01;-1,635178974700379E+02;-3,349789811563659E+01;-1,616942420549219E+02;-3,448759135067592E+01;-1,586075240748532E+02;-3,555560939973793E+01;-1,559641351742880E+02;-3,642978990107132E+01;-1,513336838172596E+02;-3,739097671387998E+01;-1,476840373876198E+02;-3,810938315408315E+01;-1,425755032495890E+02;-3,891277880711904E+01;-1,402357802645391E+02;-3,957090940016749E+01;-1,333175250370996E+02;-3,988264215050295E+01;-1,314365015710694E+02;-4,053084654086461E+01;-1,302298126604526E+02;-4,043033939742398E+01;-1,276643733464716E+02;-4,094540416369090E+01;-1,228454653502974E+02;-4,117617755315194E+01;-1,208261693381384E+02;-4,123012367733149E+01;-1,187683192194229E+02;-4,131966259346843E+01;-1,191741980174984E+02;-4,183325411435173E+01;-1,218308700333876E+02;-4,183439708944103E+01;-1,166983875429041E+02;
2,700000000000000E+07;-3,031850043954070E+01;-1,799776726717422E+02;-4,209850382502249E+01;-1,632348176772925E+02;-4,049411054256454E+01;-1,655350655572079E+02;-3,880617093184912E+01;-1,671342718918712E+02;-3,727719380391061E+01;-1,700516309716180E+02;-3,583055734787860E+01;-1,718691562994595E+02;-3,450630982505209E+01;-1,748463218127769E+02;-3,306387285812168E+01;-1,773468801406786E+02;-3,209217735206724E+01;-1,777204489634888E+02;-3,092570614743072E+01;-1,792981396454772E+02;-3,004691591638327E+01;1,797391658587792E+02;-2,927736563406273E+01;1,786546213709697E+02;-2,884340887261533E+01;1,794704264569528E+02;-2,846841981469985E+01;1,790454504413011E+02;-2,838978469027588E+01;1,788261085722331E+02;-2,850585668007347E+01;1,793153509160997E+02;-2,887826358429960E+01;-1,796720774477012E+02;-2,943494412797284E+01;-1,785536547842136E+02;-3,004727612378135E+01;-1,768171958896229E+02;-3,092768820482881E+01;-1,754571941711264E+02;-3,175080039066074E+01;-1,734220831852633E+02;-3,284809045257135E+01;-1,702993035116712E+02;-3,382489385354509E+01;-1,670714696698102E+02;-3,465154877834505E+01;-1,637578476048523E+02;-3,556950223317618E+01;-1,580620088110697E+02;-3,647376418638516E+01;-1,547361572961381E+02;-3,723366861867557E+01;-1,495972380386084E+02;-3,774762683061549E+01;-1,462541072365085E+02;-3,823597254219850E+01;-1,434116425673542E+02;-3,852589432082787E+01;-1,395376570851049E+02;-3,915083076371512E+01;-1,366328172118798E+02;-3,916404879685719E+01;-1,350691213364751E+02;-3,910728556410034E+01;-1,312175612107477E+02;-3,956378967256298E+01;-1,306318673349168E+02;-3,986238768235443E+01;-1,285035770670724E+02;-3,997791690148286E+01;-1,288223433533670E+02;-4,000444324205979E+01;-1,286116244635563E+02;-3,981237693169477E+01;-1,306461815542180E+02;
2,800000000000000E+07;-2,967833287084936E+01;1,713600017953524E+02;-4,141845268794572E+01;-1,655046961146538E+02;-3,956181915442477E+01;-1,695780568279986E+02;-3,808685816184465E+01;-1,755256992255519E+02;-3,677946474584284E+01;-1,766335203543206E+02;-3,527938418154314E+01;-1,793109533419663E+02;-3,383677791934246E+01;1,780982735575820E+02;-3,251942066813655E+01;1,753425635928169E+02;-3,136590592574425E+01;1,735968472363404E+02;-3,025045822014802E+01;1,719744521047325E+02;-2,937984351383233E+01;1,701426622815335E+02;-2,869796689593241E+01;1,697759463039987E+02;-2,817729845147218E+01;1,697310447429343E+02;-2,774950847594754E+01;1,696089606746004E+02;-2,769405207016177E+01;1,699531256103849E+02;-2,780355942837808E+01;1,701082238736198E+02;-2,808844131294934E+01;1,711439259891958E+02;-2,864954569497388E+01;1,723627305676404E+02;-2,928920269090530E+01;1,744436649134272E+02;-2,995902957953637E+01;1,763437777736400E+02;-3,082636444158236E+01;1,792119171322076E+02;-3,189347884304977E+01;-1,770750874087480E+02;-3,283016964396410E+01;-1,736693050076231E+02;-3,360463325351440E+01;-1,695787929401039E+02;-3,434699443845344E+01;-1,653098511882597E+02;-3,512279249385787E+01;-1,613062633783237E+02;-3,556985170978214E+01;-1,570198281307102E+02;-3,612366132378538E+01;-1,530093277180750E+02;-3,674913861528864E+01;-1,493315451676042E+02;-3,691009055120283E+01;-1,466030284928949E+02;-3,726565026778915E+01;-1,454727740410266E+02;-3,734139919711927E+01;-1,416171263924240E+02;-3,762704725387373E+01;-1,407781237228881E+02;-3,752831384427711E+01;-1,408152878756608E+02;-3,763777528357966E+01;-1,394421512064334E+02;-3,785987484978892E+01;-1,398036285113859E+02;-3,824113633494350E+01;-1,400082671608393E+02;-3,789869212773353E+01;-1,408121390628450E+02;
2,900000000000000E+07;-2,871904365395761E+01;1,622126918578632E+02;-3,976798435420417E+01;-1,700719725519569E+02;-3,837977446382467E+01;-1,749249978121212E+02;-3,715037711248797E+01;-1,781773701300868E+02;-3,563922750477801E+01;1,767015895810826E+02;-3,418038448088384E+01;1,737874376866223E+02;-3,295606714363740E+01;1,697656599631630E+02;-3,153220790298113E+01;1,672932209924087E+02;-3,053575863309014E+01;1,667972360067273E+02;-2,942509988684253E+01;1,636020346333873E+02;-2,848157374264087E+01;1,621868572208517E+02;-2,780522771390480E+01;1,610983203307746E+02;-2,720091946858226E+01;1,604364404440157E+02;-2,692212813045274E+01;1,600110176794210E+02;-2,668988991732996E+01;1,605472817470971E+02;-2,688318161995963E+01;1,611546560547478E+02;-2,713844999536009E+01;1,621119794126270E+02;-2,768936777259050E+01;1,637724693377464E+02;-2,832402020592585E+01;1,659391201684994E+02;-2,909611002734251E+01;1,684030491948974E+02;-2,989709534594662E+01;1,714260571733714E+02;-3,062771462604959E+01;1,746011226285335E+02;-3,137412857341054E+01;1,789828950422343E+02;-3,228605457902461E+01;-1,770969589977059E+02;-3,289688729031280E+01;-1,722972331335075E+02;-3,346453469877494E+01;-1,688982711148552E+02;-3,409520302266853E+01;-1,657644993275428E+02;-3,475317965308515E+01;-1,610600264263408E+02;-3,470888623087148E+01;-1,589282857011567E+02;-3,503720501207850E+01;-1,561775844369106E+02;-3,512124163191728E+01;-1,551549403615684E+02;-3,561506270015659E+01;-1,517235224700914E+02;-3,545012327403114E+01;-1,522784673334524E+02;-3,553883916128526E+01;-1,505995253307414E+02;-3,576582494392666E+01;-1,521053183394485E+02;-3,591602746759081E+01;-1,526849151378314E+02;-3,609758794084342E+01;-1,522510629117586E+02;-3,620110443638717E+01;-1,535797486700846E+02;
