freq[Hz];db:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;max [dB]
20000000,0;-31,8043797665708;-30,53427546233329;-29,18041019854015;-27,9715401841613;-26,78415933657526;-25,75421221465847;-24,69488156985143;-23,85838014692847;-23,17832078250842;-22,72905494666403;-22,3682968805053;-22,34342422284123;-22,42196737767729;-22,73833660451076;-23,18692169289093;-23,85013338705794;-24,6558094359278;-25,62038786272394;-26,640011194275;-27,77590946514152;-29,14426626063077;-30,2805630551352;-32,93826805873769;-34,60796402788075;-35,58878992262971;-36,79943541048276;-37,79369080866093;-38,7536526246794;-40,3547823829514;-41,03341262067465;-42,1267687856995;-42,75905788439172;-43,7346978279663;-44,47603464475534;-44,79553855168214;-45,53460821519401;-22,34342422284123
21000000,0;-31,51704546165096;-30,26805893046113;-28,90343400777383;-27,53535665108152;-26,34307286451384;-25,30889942886168;-24,30186235151805;-23,45370632393443;-22,71999384222243;-22,31858644633783;-22,00908714083553;-21,94005098858254;-22,12105684625108;-22,43091474653786;-22,89373614654401;-23,70290038580929;-24,54204738154869;-25,49302785243506;-26,6888333754844;-27,81965810937319;-29,05698323630619;-30,35086418461166;-32,97280402570971;-34,49867501025936;-35,59513159123752;-37,08351498622073;-38,13733320020626;-38,97698581861916;-40,26644811255941;-40,95962540541075;-41,97856078121372;-41,87414050178521;-42,85629273602691;-42,16165374551791;-42,72548076255774;-43,09139181051155;-21,94005098858254
22000000,0;-31,38136710700972;-30,03308981214359;-28,63761695005941;-27,27096286369089;-26,11074869388157;-25,06117899976561;-23,99016906381897;-23,12473285466499;-22,46046803625294;-22,10538144556112;-21,80147724928715;-21,76025561122049;-21,97221119970155;-22,33454050648119;-22,84237457742194;-23,60911081168997;-24,45159912062394;-25,42093698594707;-26,67889110325017;-27,81960954968294;-29,02363116400912;-30,33262108393115;-32,95198797490081;-34,47184387523748;-35,39232654575886;-36,52701877348609;-37,73976325185141;-38,70597021086552;-39,24016575581645;-40,06135779366826;-40,74180255145231;-40,58770987271649;-41,67861754400515;-41,15869327612987;-41,3077861541239;-41,40875267918606;-21,76025561122049
23000000,0;-31,20992839474013;-29,95083393349912;-28,42350095987937;-27,18302087255316;-25,99409637519052;-24,83220184873971;-23,78881749606112;-23,02127463574998;-22,35091361879581;-21,90875865725208;-21,66064506035583;-21,65459478798809;-21,87570093640023;-22,17111483219027;-22,65063712771253;-23,43463666480023;-24,24184443509737;-25,23755891993169;-26,40631305213687;-27,64839834391568;-28,84505149460836;-30,06443678769786;-32,65641368563158;-33,84564123691359;-34,80906776787199;-35,48759310054734;-36,96844030499163;-37,6052354050144;-38,51822386477325;-38,69707430259269;-38,65205213133451;-38,91507973100708;-39,38427026769234;-39,39904425351275;-39,64704205399865;-39,76163358970189;-21,65459478798809
24000000,0;-31,30530932495154;-29,9793322375153;-28,4732987631629;-27,16880050866381;-25,96000023616546;-24,74636402168277;-23,72117249647599;-22,85791292946548;-22,22225434295412;-21,76088095792908;-21,43712804524885;-21,390686491781;-21,56236714109802;-21,91546519538726;-22,4269975816145;-23,14119902127123;-23,99862457961543;-24,95454384549167;-26,02477122880892;-27,2098914661387;-28,55419848602738;-29,67119016286097;-31,97513747936908;-32,80772010673008;-34,06449918747456;-34,62410140854677;-35,39052832472082;-36,08858616375581;-36,62806579986133;-36,58785796383221;-37,10540785723664;-37,24643736887299;-37,28133423769202;-37,6407509295862;-37,7261773068171;-37,69990180992671;-21,390686491781
25000000,0;-31,35351723497731;-29,96803927210702;-28,43938661395654;-27,06448212241434;-25,83920124807093;-24,62393010056913;-23,57035264602425;-22,68707627226745;-22,00773344456147;-21,51605014336474;-21,1885617623531;-21,11698270667825;-21,30886166262679;-21,62805265164208;-22,15500524199062;-22,7897490587192;-23,71507511088339;-24,57273230346201;-25,75938956610264;-26,82119270266517;-28,0134387495204;-29,19145134307816;-31,22539772552743;-31,99425480009101;-32,77663367036195;-33,44849309840165;-34,08089438603423;-34,6294991333159;-34,49766474565092;-34,81130441027992;-34,91432572813822;-34,9428399166803;-35,2318815340596;-35,35460969456039;-35,73348498975264;-35,78127491724327;-21,11698270667825
26000000,0;-30,86101532599083;-29,606454152597;-28,2505281919681;-26,94262192670787;-25,62411318900317;-24,44880534539756;-23,38567425725159;-22,46086446892126;-21,74587396683336;-21,27683362632224;-20,95342290173561;-20,89005903008412;-21,03085762466709;-21,43471129996227;-21,77290560757376;-22,49021522142381;-23,37045911484587;-24,38720738938134;-25,31660186935697;-26,37001645704954;-27,41861198877613;-28,45970590528193;-30,2804176026628;-31,05259040727044;-31,36224492137582;-31,95730160735099;-32,41566199264356;-32,79399744526274;-33,1066970268743;-33,23653731122009;-33,53462848314501;-33,46162139259857;-33,7406766775492;-33,90489047060312;-34,06576683524216;-34,12851562536339;-20,89005903008412
27000000,0;-30,63389741378713;-29,50048614038457;-27,95012716943895;-26,59566963516207;-25,3481089591709;-24,22264616248271;-23,15619603824024;-22,19708953204433;-21,49121105860168;-21,03600819629825;-20,70091898403335;-20,57621528734989;-20,74321444854429;-21,08548584612078;-21,53241710238919;-22,23478128376351;-23,04721564238073;-23,92120830659259;-24,91809795213488;-25,88731213999573;-26,81397286481872;-27,68064594982538;-29,28040178757372;-29,83083549680652;-30,28039456332127;-30,70842940558826;-31,13126487795543;-31,30155273892266;-31,55535320962483;-31,61254878977673;-31,81801962691333;-32,27173147109172;-32,08977526684018;-32,37456958346358;-32,62266858623189;-32,68248636002567;-20,57621528734989
28000000,0;-30,18460806137254;-29,01629452733707;-27,61567842274271;-26,30598588961778;-25,05855860218938;-23,91522940450913;-22,85945179516073;-21,9101844061417;-21,22083584758379;-20,70970662374261;-20,38212181072721;-20,29214069855055;-20,42192656916653;-20,77804536768166;-21,18828042013331;-21,92311193809125;-22,66730354373875;-23,45068138894374;-24,40464336572215;-25,15627329652734;-26,13471191001109;-26,90729703455441;-28,21526443286153;-28,85013084748746;-29,1178699797349;-29,29764484386855;-29,69517913731823;-30,05154692775355;-30,17301347109418;-30,27977054888343;-30,66391568407575;-30,54250810999364;-30,73959616670568;-30,93203925276439;-31,16226656458863;-31,26979591265938;-20,29214069855055
29000000,0;-29,80943163150478;-28,62491544920807;-27,28329820761421;-25,97472499700374;-24,73154651996817;-23,63627939713142;-22,60754175385482;-21,67085729545378;-20,9355728231448;-20,46082557038494;-20,09845264565396;-20,01416951060137;-20,18230903489405;-20,4739100059429;-20,81921135350672;-21,54174716475033;-22,19272640333683;-23,11268486498211;-23,86468226480895;-24,66956869140978;-25,50507824713378;-26,02288943359333;-27,03799562583964;-27,62022567952227;-27,78285559320597;-28,02589609913834;-28,16126427888907;-28,69418797882209;-28,58182650003508;-28,83357691381958;-29,23787703967989;-29,2478958595445;-29,40008749533798;-29,75343066760426;-29,76653775099359;-30,08770108057858;-20,01416951060137
